sample,total.transformations,number.of.peaks,normalized.transformations
RC2_0001,73556,6879,10.6928332606483
RC2_0002,72788,7223,10.0772532188841
RC2_0003,73179,7454,9.81741346927824
RC2_0004,73391,7213,10.1748232358242
RC2_0005,76354,7172,10.6461238148355
RC2_0006,79601,7445,10.6918737407656
RC2_0007,67670,6836,9.8990637799883
RC2_0008,71690,7350,9.75374149659864
RC2_0009,72293,7111,10.1663619744059
RC2_0010,73645,7046,10.4520295202952
RC2_0011,75992,7364,10.319391634981
RC2_0012,75777,7242,10.463545981773
RC2_0013,68993,7158,9.63858619726181
RC2_0014,68527,7280,9.41304945054945
RC2_0015,71403,7429,9.61138780454974
RC2_0016,77058,7509,10.2620854974031
RC2_0017,77872,7662,10.1634038110154
RC2_0018,76753,7355,10.4354860639021
RC2_0019,64475,6088,10.590505913272
RC2_0020,70042,7255,9.65430737422467
RC2_0021,71625,7490,9.56275033377837
RC2_0022,75881,7155,10.6053109713487
RC2_0023,75748,7249,10.4494413022486
RC2_0024,75566,7452,10.1403650026838
RC2_0025,69389,7090,9.78688293370945
RC2_0026,68076,7143,9.53044939101218
RC2_0027,67466,7073,9.53852679202601
RC2_0028,74698,7169,10.4195843213837
RC2_0029,76982,7114,10.8211976384594
RC2_0030,78131,7640,10.2265706806283
RC2_0031,70404,6832,10.3050351288056
RC2_0032,69589,7087,9.81924650769014
RC2_0033,73537,7259,10.1304587408734
RC2_0034,77250,7043,10.9683373562402
RC2_0035,80302,7176,11.1903567447046
RC2_0036,79023,7125,11.0909473684211
RC2_0037,79234,7574,10.4613150250858
RC2_0038,73949,7264,10.1802037444934
RC2_0039,78455,7682,10.2128351991669
RC2_0040,76919,7317,10.5123684570179
RC2_0041,79156,7639,10.3620892787014
RC2_0042,78611,6953,11.3060549403135
RC2_0043,71561,6809,10.5097664855339
RC2_0044,72528,6694,10.8347774126083
RC2_0045,80752,7271,11.1060376839499
RC2_0046,81963,7315,11.2047846889952
RC2_0048,82304,7221,11.3978673313945
RC2_0049,83603,7461,11.2053344055757
RC2_0050,82423,7486,11.0102858669516
RC2_0051,77871,7713,10.0960715674835
RC2_0052,80488,7478,10.7633056967104
RC2_0053,83871,7321,11.4562218276192
RC2_0054,86252,7448,11.5805585392052
RC2_0055,84175,7732,10.8865752715986
RC2_0056,79093,7516,10.5232836615221
RC2_0057,79295,7041,11.2618946172419
RC2_0058,82460,7754,10.6345112200155
RC2_0059,84518,7624,11.0857817418678
RC2_0060,85956,7688,11.1805411030177
RC2_0061,76490,7032,10.877417519909
RC2_0062,77712,7246,10.7248136903119
RC2_0063,82559,7641,10.8047375997906
RC2_0064,82551,7189,11.4829600778968
RC2_0065,86966,7432,11.701560818084
RC2_0066,82688,7073,11.6906546020076
RC2_0067,67586,7074,9.55414192818773
RC2_0068,78310,7432,10.5368675995694
RC2_0069,81135,7494,10.8266613290633
RC2_0070,80888,7416,10.9072276159655
RC2_0071,84813,7416,11.4364886731392
RC2_0072,83425,7364,11.3287615426399
RC2_0073,82932,7240,11.4546961325967
RC2_0074,83356,7192,11.5901001112347
RC2_0075,81569,7239,11.2679928166874
RC2_0076,81556,7457,10.9368378704573
RC2_0077,81367,7536,10.7971072186837
RC2_0078,69941,6814,10.2643087760493
RC2_0079,68514,6865,9.98018936635106
RC2_0080,77278,7339,10.5297724485625
RC2_0081,79667,7013,11.3599030372166
RC2_0082,86976,7836,11.0995405819296
RC2_0083,87163,7270,11.9894085281981
RC2_0084,87863,7349,11.9557762960947
RC2_0085,67786,6982,9.70867946147236
RC2_0086,76963,7260,10.6009641873278
RC2_0087,83764,7834,10.6923666070973
RC2_0088,84415,7306,11.5542020257323
RC2_0089,85571,7520,11.3791223404255
RC2_0090,82838,7130,11.6182328190743
RC2_0091,52598,6075,8.65810699588477
RC2_0092,62997,6215,10.1362831858407
RC2_0093,83747,7808,10.725794057377
RC2_0094,79058,7165,11.0339148639218
RC2_0095,78260,7275,10.7573883161512
RC2_0096,78656,7116,11.053400786959
RC2_0097,77116,7245,10.6440303657695
RC2_0098,77813,7115,10.9364722417428
RC2_0099,80163,7174,11.1741009199888
RC2_0100,88978,7968,11.1669176706827
RC2_0101,63701,7452,8.54817498658078
RC2_0103,78478,7197,10.9042656662498
RC2_0104,72972,6559,11.12547644458
RC2_0105,76928,7031,10.9412601336936
RC2_0106,79541,6978,11.3988248781886
RC2_0107,64865,8423,7.70093790810875
RC2_0108,79122,8059,9.81784340488894
RC2_0109,82135,7342,11.1870062653228
RC2_0110,76820,7077,10.854882012152
RC2_0111,72029,6745,10.6788732394366
RC2_0112,73830,6643,11.1139545386121
RC2_0113,64206,7417,8.65659970338412
RC2_0114,66073,6716,9.83814770696843
RC2_0115,75910,7364,10.3082563824009
RC2_0116,76414,6894,11.0841311285176
RC2_0117,79277,7299,10.8613508699822
RC2_0118,69925,6409,10.9104384459354
RC2_0119,61873,6851,9.0312363158663
RC2_0120,73173,7771,9.41616265602883
RC2_0121,76424,6953,10.9915144541924
RC2_0122,81143,7499,10.8205094012535
RC2_0123,75752,7250,10.4485517241379
RC2_0124,76534,7180,10.6593314763231
RC2_0125,64955,6799,9.55361082512134
RC2_0126,68974,6918,9.97022260769008
RC2_0127,78841,7544,10.450821845175
RC2_0128,73300,7096,10.3297632468997
RC2_0129,70960,6639,10.6883566802229
RC2_0130,72689,6882,10.5621912234815
RC2_0131,72229,7272,9.93248074807481
RC2_0132,67263,6989,9.62412362283589
RC2_0133,68209,6821,9.99985339393051
RC2_0134,71861,6648,10.8094163658243
RC2_0135,75090,7185,10.4509394572025
RC2_0136,72751,7112,10.2293307086614
RC2_0137,76437,7108,10.7536578503095
RC2_0138,72687,7251,10.0244104261481
RC2_0139,76734,7405,10.3624577987846
RC2_0140,73234,7338,9.98010357045517
RC2_0141,77621,7417,10.4652824592153
RC2_0142,76544,6819,11.2251063205749
RC2_0143,74090,7202,10.2874201610664
RC2_0144,72960,7341,9.93870044953004
RC2_0145,74705,7392,10.1061958874459
RC2_0146,75664,7251,10.4349744862778
RC2_0147,77910,7100,10.9732394366197
RC2_0148,72779,6986,10.4178356713427
RC2_0149,75330,7254,10.3846153846154
RC2_0150,69072,6701,10.3077152663782
RC2_0151,87369,8910,9.80572390572391
RC2_0152,73836,6879,10.7335368512865
RC2_0153,71823,6294,11.4113441372736
RC2_0154,80870,7158,11.2978485610506
RC2_0155,70656,6769,10.4381740286601
RC2_0156,72215,7284,9.91419549697968
RC2_0157,70448,6637,10.6144342323339
RC2_0158,71923,6790,10.5924889543446
RC2_0159,71109,6621,10.7399184413231
RC2_0160,74380,7046,10.5563440249787
RC2_0163,69156,6437,10.7435140593444
RC2_0164,66378,6058,10.9570815450644
RC2_0165,73236,6727,10.8868737921808
RC2_0166,68728,6300,10.9092063492063
RC2_0167,78362,7384,10.6124052004334
RC2_0177,79017,6818,11.5894690525081
RC2_0178,71173,6577,10.8214991637525
RC2_0179,66821,6143,10.8775842422269
RC2_0183,63037,5849,10.7773978457856
RC2_0184,69827,6607,10.5686393219313
RC2_0187,76119,7093,10.7315663330044
RC2_0188,76604,6908,11.0891719745223
RC2_0189,75687,6843,11.0604997807979
RC2_0190,71745,6584,10.8968712029162
RC2_0191,72153,6768,10.6609042553191
RC2_0192,67731,6833,9.91233718717986
RC2_0193,79344,7348,10.7980402830702
RC2_0194,74740,6779,11.0252249594335
RC2_0195,68364,6831,10.0079051383399
RC2_0196,68559,6821,10.0511655182525
RC2_0197,72692,6812,10.6711685261304
RC2_0198,71607,6929,10.3343916871121
RC2_0199,70477,6733,10.4673993762067
RC2_0200,78218,7610,10.2783180026281
RC2_0201,75571,8154,9.26796664213883
RC2_0202,78634,7853,10.0132433464918
RC2_0203,78412,7731,10.1425430086664
RC2_0204,79992,7894,10.133265771472
RC2_0205,83265,8349,9.97305066475027
RC2_0206,74465,7200,10.3423611111111
RC2_0207,74203,7736,9.59190796277146
RC2_0208,76895,7435,10.3422999327505
RC2_0209,79403,7919,10.0268973355222
RC2_0210,81079,8138,9.96301302531334
RC2_0211,81221,7999,10.1538942367796
WROL2019_001,49763,5740,8.66951219512195
WROL2019_002,8650,1819,4.75536008796042
WROL2019_003,27944,3756,7.43982960596379
WROL2019_004,73858,5996,12.3178785857238
WROL2019_005,61388,5139,11.9455146915742
WROL2019_006,28032,3532,7.9365798414496
WROL2019_007,50058,4502,11.1190581963572
WROL2019_008,50000,4606,10.8554059921841
WROL2019_009,61084,4910,12.440733197556
WROL2019_010,64298,5268,12.205391040243
WROL2019_011,66350,6078,10.9164198749589
WROL2019_012,61189,5953,10.2786830169662
WROL2019_013,24317,3157,7.70256572695597
WROL2019_014,43300,4119,10.512260257344
WROL2019_015,34051,3579,9.51411008661637
WROL2019_016,60029,5184,11.5796682098765
