num.trans.involved.in,sample,peak
9,RC2_0066,201.040549746854
2,RC2_0066,201.076539880659
1,RC2_0066,201.07699209042
3,RC2_0066,201.112921311162
9,RC2_0066,201.113305507132
1,RC2_0066,201.802107418046
5,RC2_0066,203.035144966705
4,RC2_0066,203.05621751821
7,RC2_0066,203.092598573455
45,RC2_0066,205.050649645622
1,RC2_0066,206.630745469125
74,RC2_0066,207.02992691764
5,RC2_0066,207.030062953797
1,RC2_0066,207.043118330514
73,RC2_0066,207.066308041173
39,RC2_0066,209.009228623359
79,RC2_0066,209.045580314629
5,RC2_0066,209.045714537071
35,RC2_0066,209.08199123926
34,RC2_0066,210.040862745382
2,RC2_0066,211.024424431124
16,RC2_0066,211.024894692063
1,RC2_0066,211.036204849596
2,RC2_0066,211.060821334623
46,RC2_0066,211.06125733712
1,RC2_0066,211.097227130842
40,RC2_0066,211.097630381567
2,RC2_0066,212.020171836867
34,RC2_0066,212.056516473567
1,RC2_0066,213.009049924848
7,RC2_0066,213.040557537648
1,RC2_0066,213.07645567648
58,RC2_0066,213.076900756185
44,RC2_0066,213.113283801581
7,RC2_0066,213.149682947098
25,RC2_0066,214.07216598138
6,RC2_0066,215.002046803011
1,RC2_0066,215.055709185035
31,RC2_0066,215.056178158602
4,RC2_0066,215.092090405583
56,RC2_0066,215.092533836653
1,RC2_0066,215.12847689362
31,RC2_0066,215.128934496082
34,RC2_0066,217.014302802805
47,RC2_0066,217.050666603118
53,RC2_0066,217.071799283711
34,RC2_0066,217.108201785189
65,RC2_0066,219.029928016014
1,RC2_0066,219.040541223331
25,RC2_0066,219.066350484888
47,RC2_0066,219.087447724547
37,RC2_0066,220.061599442705
35,RC2_0066,221.009230354257
83,RC2_0066,221.045580738646
2,RC2_0066,221.056907490129
26,RC2_0066,221.058659744784
1,RC2_0066,221.081518871672
36,RC2_0066,221.081986894533
42,RC2_0066,222.04086546972
37,RC2_0066,222.077236877626
4,RC2_0066,222.090325421873
84,RC2_0066,223.024839679869
22,RC2_0066,223.037924550797
56,RC2_0066,223.061246213401
21,RC2_0066,223.074311793983
71,RC2_0066,223.097607894594
19,RC2_0066,224.020144730241
51,RC2_0066,224.056481859079
28,RC2_0066,225.004148052062
89,RC2_0066,225.040486343924
3,RC2_0066,225.076348828166
80,RC2_0066,225.076878261981
43,RC2_0066,225.113278625311
5,RC2_0066,225.113413189016
41,RC2_0066,226.035759020336
8,RC2_0066,226.048355479098
49,RC2_0066,226.072120524392
81,RC2_0066,227.019752593691
3,RC2_0066,227.055612260774
76,RC2_0066,227.056148286431
3,RC2_0066,227.092011842297
56,RC2_0066,227.092541865221
52,RC2_0066,227.128907624443
41,RC2_0066,228.051424865359
41,RC2_0066,228.087791790328
60,RC2_0066,229.035413614048
4,RC2_0066,229.071269034847
59,RC2_0066,229.071807183862
4,RC2_0066,229.10765260781
51,RC2_0066,229.108190337404
1,RC2_0066,229.144014649398
43,RC2_0066,229.144552644549
3,RC2_0066,230.032631287978
1,RC2_0066,230.050846981408
57,RC2_0066,231.029915857015
11,RC2_0066,231.033291021463
51,RC2_0066,231.051063493403
34,RC2_0066,231.079387004707
2,RC2_0066,231.086898937878
60,RC2_0066,231.08744241947
2,RC2_0066,231.123284763293
39,RC2_0066,231.123844890446
70,RC2_0066,233.009183311334
2,RC2_0066,233.037974826809
77,RC2_0066,233.045570505002
3,RC2_0066,233.058122496977
25,RC2_0066,233.058684421359
68,RC2_0066,233.066698299864
49,RC2_0066,233.081940254861
55,RC2_0066,233.103085844661
22,RC2_0066,233.154700675034
41,RC2_0066,234.04084414727
74,RC2_0066,235.024842750646
28,RC2_0066,235.037934881852
12,RC2_0066,235.055735388127
75,RC2_0066,235.061224997157
2,RC2_0066,235.073719952416
30,RC2_0066,235.074322891885
51,RC2_0066,235.097617196938
19,RC2_0066,235.110720097997
46,RC2_0066,236.020096425862
68,RC2_0066,236.056477614908
36,RC2_0066,236.092851504478
1,RC2_0066,236.965940328667
46,RC2_0066,237.00412914568
2,RC2_0066,237.039899830474
92,RC2_0066,237.040490355855
27,RC2_0066,237.05171863664
18,RC2_0066,237.053580992428
20,RC2_0066,237.071371396449
2,RC2_0066,237.076287386874
83,RC2_0066,237.076877223671
2,RC2_0066,237.089364663523
26,RC2_0066,237.089974313811
61,RC2_0066,237.113263602476
49,RC2_0066,238.035768512327
48,RC2_0066,238.07214883977
1,RC2_0066,238.962987013897
85,RC2_0066,239.019730421311
32,RC2_0066,239.035001239052
14,RC2_0066,239.050636808328
2,RC2_0066,239.055502072042
63,RC2_0066,239.056116538289
27,RC2_0066,239.067397967422
22,RC2_0066,239.069237109271
11,RC2_0066,239.087031687896
75,RC2_0066,239.092509650864
1,RC2_0066,239.128310675008
47,RC2_0066,239.128901435965
26,RC2_0066,239.165307630086
2,RC2_0066,239.997301237315
35,RC2_0066,240.015043659121
2,RC2_0066,240.04577242469
1,RC2_0066,240.045916783583
43,RC2_0066,240.051419688166
35,RC2_0066,240.087805813667
7,RC2_0066,241.017663956751
49,RC2_0066,241.035424325094
3,RC2_0066,241.071201652369
68,RC2_0066,241.071807278683
4,RC2_0066,241.107576768361
68,RC2_0066,241.10818343559
1,RC2_0066,241.135875818318
20,RC2_0066,241.136476188052
49,RC2_0066,241.144555775004
42,RC2_0066,242.067058474382
4,RC2_0066,242.13986388878
9,RC2_0066,242.176183482542
10,RC2_0066,243.029829698324
7,RC2_0066,243.033314742996
1,RC2_0066,243.042628073142
54,RC2_0066,243.051074163678
2,RC2_0066,243.086838227442
74,RC2_0066,243.087456103451
65,RC2_0066,243.123824166654
11,RC2_0066,243.133538665808
33,RC2_0066,243.160188628261
1,RC2_0066,243.755391788263
1,RC2_0066,244.136880343945
58,RC2_0066,245.009188417622
61,RC2_0066,245.045553877071
11,RC2_0066,245.048948124164
36,RC2_0066,245.058667923197
78,RC2_0066,245.066693555445
1,RC2_0066,245.102451065552
72,RC2_0066,245.103083969213
39,RC2_0066,245.11832821629
51,RC2_0066,245.139487182497
38,RC2_0066,246.040849034377
4,RC2_0066,246.077289634449
1,RC2_0066,246.167599223144
45,RC2_0066,247.024850905691
6,RC2_0066,247.028231904299
50,RC2_0066,247.037895313515
56,RC2_0066,247.045937871706
4,RC2_0066,247.05364053949
73,RC2_0066,247.061205165109
31,RC2_0066,247.074319351448
64,RC2_0066,247.082344096439
58,RC2_0066,247.097610936464
1,RC2_0066,247.110047454692
21,RC2_0066,247.110691524304
48,RC2_0066,247.118746256228
38,RC2_0066,248.020070734675
44,RC2_0066,248.056499019933
33,RC2_0066,249.004134620835
2,RC2_0066,249.039832616681
86,RC2_0066,249.040481689041
32,RC2_0066,249.05174822335
29,RC2_0066,249.053593066163
17,RC2_0066,249.07138124542
1,RC2_0066,249.076231495704
57,RC2_0066,249.076887612801
11,RC2_0066,249.088081397693
6,RC2_0066,249.088231902288
28,RC2_0066,249.089967712669
28,RC2_0066,249.107718570254
34,RC2_0066,249.113279353307
27,RC2_0066,249.126253320992
41,RC2_0066,249.149632774872
34,RC2_0066,249.999338548951
53,RC2_0066,250.03577511482
8,RC2_0066,250.048658427512
66,RC2_0066,250.072128415851
17,RC2_0066,250.093296864271
11,RC2_0066,250.144926059732
1,RC2_0066,250.980895673046
2,RC2_0066,250.981574521972
54,RC2_0066,251.019767892639
17,RC2_0066,251.032873844349
16,RC2_0066,251.050615506087
3,RC2_0066,251.055480245917
63,RC2_0066,251.056160076941
13,RC2_0066,251.059549208156
30,RC2_0066,251.067371162262
48,RC2_0066,251.069200762394
12,RC2_0066,251.087008610176
85,RC2_0066,251.092512049362
19,RC2_0066,251.105634293461
1,RC2_0066,251.12343850847
40,RC2_0066,251.128926428221
11,RC2_0066,251.142022853222
51,RC2_0066,252.014997436721
63,RC2_0066,252.05140363299
4,RC2_0066,252.072591280245
42,RC2_0066,252.087794624078
44,RC2_0066,252.999029198074
96,RC2_0066,253.035393800908
29,RC2_0066,253.046679350378
14,RC2_0066,253.04852342875
13,RC2_0066,253.066294552709
1,RC2_0066,253.071122613482
55,RC2_0066,253.071815826524
26,RC2_0066,253.083024246815
21,RC2_0066,253.084867602562
19,RC2_0066,253.10264472481
2,RC2_0066,253.107475495127
82,RC2_0066,253.108174546941
47,RC2_0066,253.144552855197
57,RC2_0066,254.030651925067
71,RC2_0066,254.067038854672
37,RC2_0066,254.103456176477
2,RC2_0066,254.148085589407
19,RC2_0066,255.014717165324
12,RC2_0066,255.033325340475
101,RC2_0066,255.051044579734
10,RC2_0066,255.081951392879
1,RC2_0066,255.086757924233
61,RC2_0066,255.08746197079
33,RC2_0066,255.100500473532
73,RC2_0066,255.123820685408
38,RC2_0066,255.160222525729
10,RC2_0066,255.232978360785
54,RC2_0066,256.046310946445
58,RC2_0066,256.082699137076
15,RC2_0066,257.009230079052
20,RC2_0066,257.030369399811
54,RC2_0066,257.045558921462
13,RC2_0066,257.048977313579
4,RC2_0066,257.065970562528
91,RC2_0066,257.066697811591
24,RC2_0066,257.081987768401
2,RC2_0066,257.102392810487
54,RC2_0066,257.103113832568
13,RC2_0066,257.131424144033
51,RC2_0066,257.139460597589
23,RC2_0066,257.175877403413
49,RC2_0066,258.061943559228
51,RC2_0066,258.098350376366
1,RC2_0066,258.098528041576
2,RC2_0066,258.134421243363
13,RC2_0066,259.024886804565
11,RC2_0066,259.028246461304
3,RC2_0066,259.035402965287
17,RC2_0066,259.046016673387
54,RC2_0066,259.061225876978
20,RC2_0066,259.072485154724
30,RC2_0066,259.074334260135
78,RC2_0066,259.082354303355
11,RC2_0066,259.097650316047
9,RC2_0066,259.101015976729
36,RC2_0066,259.110679247534
2,RC2_0066,259.118043661529
40,RC2_0066,259.118765767066
20,RC2_0066,259.128468851096
43,RC2_0066,259.155105227887
40,RC2_0066,260.020095799211
3,RC2_0066,260.043224789432
36,RC2_0066,260.056500323851
44,RC2_0066,260.077593298451
68,RC2_0066,261.00409355596
2,RC2_0066,261.032918339624
47,RC2_0066,261.040518030856
9,RC2_0066,261.043882419734
1,RC2_0066,261.051645455438
55,RC2_0066,261.053549270575
10,RC2_0066,261.061666466651
67,RC2_0066,261.076863863148
