num.trans.involved.in,sample,peak
1,WROL2019_150,200.1452752
43,WROL2019_150,201.0768413
1,WROL2019_150,201.1129213
5,WROL2019_150,201.1133055
3,WROL2019_150,201.8955393
1,WROL2019_150,207.0182257
44,WROL2019_150,207.0299269
49,WROL2019_150,207.066308
50,WROL2019_150,209.0455803
26,WROL2019_150,209.154707
6,WROL2019_150,211.0248947
28,WROL2019_150,211.0612573
34,WROL2019_150,211.0976304
40,WROL2019_150,211.133983
39,WROL2019_150,213.0769008
37,WROL2019_150,213.1132838
8,WROL2019_150,214.1448933
1,WROL2019_150,214.3025112
9,WROL2019_150,215.0561782
39,WROL2019_150,215.0925338
27,WROL2019_150,215.1289345
2,WROL2019_150,217.0484994
39,WROL2019_150,217.0717993
26,WROL2019_150,217.1082018
13,WROL2019_150,219.0663505
1,WROL2019_150,219.0683444
6,WROL2019_150,220.1469186
53,WROL2019_150,221.0455807
1,WROL2019_150,221.0815189
30,WROL2019_150,221.0819869
35,WROL2019_150,221.1547026
1,WROL2019_150,221.9871474
41,WROL2019_150,223.0612462
56,WROL2019_150,223.0976079
58,WROL2019_150,225.0404863
54,WROL2019_150,225.0768783
42,WROL2019_150,225.1132786
35,WROL2019_150,225.1496035
51,WROL2019_150,227.0561483
42,WROL2019_150,227.0925419
47,WROL2019_150,227.1289076
6,WROL2019_150,227.2016086
7,WROL2019_150,228.1605368
43,WROL2019_150,229.0718072
2,WROL2019_150,229.1003164
38,WROL2019_150,229.1081903
43,WROL2019_150,229.1445526
38,WROL2019_150,231.0874424
32,WROL2019_150,231.1238449
53,WROL2019_150,233.0455705
39,WROL2019_150,233.0819403
25,WROL2019_150,233.1547007
1,WROL2019_150,234.0417069
37,WROL2019_150,235.0248428
55,WROL2019_150,235.061225
42,WROL2019_150,235.0976172
5,WROL2019_150,236.1054076
1,WROL2019_150,236.9659403
53,WROL2019_150,237.0404904
65,WROL2019_150,237.0768772
52,WROL2019_150,237.1132636
13,WROL2019_150,238.0721488
56,WROL2019_150,239.0561165
5,WROL2019_150,239.067398
58,WROL2019_150,239.0925097
42,WROL2019_150,239.1289014
24,WROL2019_150,239.1653076
34,WROL2019_150,241.0354243
45,WROL2019_150,241.0718073
55,WROL2019_150,241.1081834
18,WROL2019_150,241.1364762
47,WROL2019_150,241.1445558
10,WROL2019_150,242.1761835
30,WROL2019_150,243.0510742
50,WROL2019_150,243.0874561
51,WROL2019_150,243.1238242
7,WROL2019_150,243.1335387
34,WROL2019_150,243.1601886
53,WROL2019_150,245.0455539
61,WROL2019_150,245.103084
42,WROL2019_150,245.1394872
1,WROL2019_150,246.8128086
2,WROL2019_150,246.9403412
26,WROL2019_150,247.0248509
61,WROL2019_150,247.0612052
48,WROL2019_150,247.0976109
10,WROL2019_150,247.1106915
60,WROL2019_150,249.0404817
43,WROL2019_150,249.0768876
30,WROL2019_150,249.1132794
37,WROL2019_150,249.1496328
7,WROL2019_150,250.1449261
1,WROL2019_150,250.9815745
1,WROL2019_150,251.0556923
40,WROL2019_150,251.0561601
33,WROL2019_150,251.0692008
74,WROL2019_150,251.092512
37,WROL2019_150,251.1289264
61,WROL2019_150,253.0353938
37,WROL2019_150,253.0718158
70,WROL2019_150,253.1081745
43,WROL2019_150,253.1445529
71,WROL2019_150,255.0510446
45,WROL2019_150,255.087462
63,WROL2019_150,255.1238207
6,WROL2019_150,255.2329784
2,WROL2019_150,257.0489773
68,WROL2019_150,257.0666978
38,WROL2019_150,257.1031138
50,WROL2019_150,257.1394606
21,WROL2019_150,257.1758774
5,WROL2019_150,259.0248868
5,WROL2019_150,259.0460167
54,WROL2019_150,259.0823543
35,WROL2019_150,259.1187658
42,WROL2019_150,259.1551052
24,WROL2019_150,261.040518
56,WROL2019_150,261.0768639
58,WROL2019_150,261.0979977
6,WROL2019_150,261.1133002
6,WROL2019_150,261.1344261
24,WROL2019_150,263.0197816
32,WROL2019_150,263.0561594
14,WROL2019_150,263.0692185
59,WROL2019_150,263.0925264
18,WROL2019_150,263.1056007
28,WROL2019_150,263.1289336
2,WROL2019_150,264.997232
29,WROL2019_150,265.0354303
72,WROL2019_150,265.0717856
13,WROL2019_150,265.10821
30,WROL2019_150,265.1212311
38,WROL2019_150,265.1445633
2,WROL2019_150,265.1479259
18,WROL2019_150,267.0146913
55,WROL2019_150,267.0510612
28,WROL2019_150,267.0874727
65,WROL2019_150,267.1238131
26,WROL2019_150,267.1602276
8,WROL2019_150,269.0303632
88,WROL2019_150,269.0666852
48,WROL2019_150,269.1031087
1,WROL2019_150,269.1312485
39,WROL2019_150,269.1394928
34,WROL2019_150,271.0459849
2,WROL2019_150,271.064643
82,WROL2019_150,271.0823405
15,WROL2019_150,271.0976247
38,WROL2019_150,271.1187635
35,WROL2019_150,271.1551372
22,WROL2019_150,271.1915145
30,WROL2019_150,273.0616401
40,WROL2019_150,273.0768668
37,WROL2019_150,273.0980262
55,WROL2019_150,273.1343806
1,WROL2019_150,273.1974923
1,WROL2019_150,273.9576132
17,WROL2019_150,275.019774
2,WROL2019_150,275.0231757
14,WROL2019_150,275.0561801
46,WROL2019_150,275.0691923
34,WROL2019_150,275.0772881
37,WROL2019_150,275.0925308
30,WROL2019_150,275.1055913
28,WROL2019_150,275.1136798
45,WROL2019_150,275.1288899
36,WROL2019_150,275.1500455
4,WROL2019_150,275.16867
1,WROL2019_150,275.9712155
21,WROL2019_150,277.0354356
65,WROL2019_150,277.0717817
11,WROL2019_150,277.084881
50,WROL2019_150,277.1081768
11,WROL2019_150,277.1212752
19,WROL2019_150,277.1445832
3,WROL2019_150,278.0882431
2,WROL2019_150,278.1529028
15,WROL2019_150,279.0146995
38,WROL2019_150,279.0510701
33,WROL2019_150,279.0641005
70,WROL2019_150,279.0874405
50,WROL2019_150,279.1004977
69,WROL2019_150,279.1238056
37,WROL2019_150,279.1602153
11,WROL2019_150,280.1190306
3,WROL2019_150,280.1499055
64,WROL2019_150,281.030314
76,WROL2019_150,281.0667002
5,WROL2019_150,281.0798127
15,WROL2019_150,281.0975489
73,WROL2019_150,281.1030904
10,WROL2019_150,281.1161723
34,WROL2019_150,281.1394996
8,WROL2019_150,282.0619899
7,WROL2019_150,282.0983799
78,WROL2019_150,283.0459498
1,WROL2019_150,283.0646717
75,WROL2019_150,283.0823289
6,WROL2019_150,283.0954516
57,WROL2019_150,283.1187437
23,WROL2019_150,283.1551497
4,WROL2019_150,283.2642669
38,WROL2019_150,285.0616289
36,WROL2019_150,285.0768642
6,WROL2019_150,285.080275
8,WROL2019_150,285.0899757
82,WROL2019_150,285.0979951
38,WROL2019_150,285.1132417
1,WROL2019_150,285.1261574
72,WROL2019_150,285.1343822
1,WROL2019_150,285.1699033
48,WROL2019_150,285.1707566
20,WROL2019_150,285.2071602
23,WROL2019_150,286.0932582
59,WROL2019_150,287.0408698
23,WROL2019_150,287.0561611
35,WROL2019_150,287.0692108
77,WROL2019_150,287.0772513
14,WROL2019_150,287.0925628
1,WROL2019_150,287.0959366
45,WROL2019_150,287.1055631
76,WROL2019_150,287.1136419
42,WROL2019_150,287.1500424
18,WROL2019_150,287.1864414
3,WROL2019_150,288.1089664
1,WROL2019_150,288.9151025
2,WROL2019_150,288.987283
22,WROL2019_150,289.0354228
20,WROL2019_150,289.0718132
45,WROL2019_150,289.084836
58,WROL2019_150,289.0928999
25,WROL2019_150,289.1081913
57,WROL2019_150,289.121202
62,WROL2019_150,289.1292921
36,WROL2019_150,289.1445574
46,WROL2019_150,289.1575866
2,WROL2019_150,289.9868583
17,WROL2019_150,290.1245628
1,WROL2019_150,290.9121193
2,WROL2019_150,290.9841325
34,WROL2019_150,291.0146733
72,WROL2019_150,291.0510517
17,WROL2019_150,291.0641351
17,WROL2019_150,291.0818991
59,WROL2019_150,291.0874391
41,WROL2019_150,291.1005016
31,WROL2019_150,291.1182712
32,WROL2019_150,291.1238342
44,WROL2019_150,291.1368672
11,WROL2019_150,291.1546692
29,WROL2019_150,291.160215
27,WROL2019_150,291.1732185
21,WROL2019_150,291.2096212
1,WROL2019_150,292.1216532
14,WROL2019_150,292.1321162
68,WROL2019_150,293.0303017
96,WROL2019_150,293.0666799
43,WROL2019_150,293.0797669
76,WROL2019_150,293.1030687
45,WROL2019_150,293.1161473
67,WROL2019_150,293.1394419
18,WROL2019_150,293.1525412
9,WROL2019_150,293.1702798
38,WROL2019_150,293.175808
4,WROL2019_150,293.1791868
3,WROL2019_150,293.2066647
29,WROL2019_150,294.0619607
33,WROL2019_150,294.0983465
9,WROL2019_150,294.1809559
5,WROL2019_150,294.1841466
1,WROL2019_150,294.8434303
74,WROL2019_150,295.0459584
91,WROL2019_150,295.0823452
33,WROL2019_150,295.0954193
71,WROL2019_150,295.1187333
20,WROL2019_150,295.1318083
4,WROL2019_150,295.1373476
49,WROL2019_150,295.1551286
1,WROL2019_150,295.1825385
1,WROL2019_150,295.3603682
44,WROL2019_150,296.1139762
2,WROL2019_150,296.8590407
2,WROL2019_150,296.9326558
1,WROL2019_150,296.9357637
54,WROL2019_150,297.0252332
75,WROL2019_150,297.0616154
8,WROL2019_150,297.0802104
55,WROL2019_150,297.0980074
52,WROL2019_150,297.111023
59,WROL2019_150,297.1343928
5,WROL2019_150,297.1529781
37,WROL2019_150,297.1707794
33,WROL2019_150,298.0932333
4,WROL2019_150,298.1063056
1,WROL2019_150,298.81159
38,WROL2019_150,299.0408888
45,WROL2019_150,299.0561093
68,WROL2019_150,299.0772666
7,WROL2019_150,299.0958676
27,WROL2019_150,299.1055953
78,WROL2019_150,299.1136424
27,WROL2019_150,299.1266545
