Name,Mass,WROL2019_084,WROL2019_078
#N/A-1,55.04219874,27,36
#N/A-2,57.96908323,178,248
#N/A-3,61.96401083,102,177
#N/A-4,65.0314789,1,0
#N/A-5,80.0185996,0,2
2ndIP,1.997,42,58
acetone (-H),57.03403983,0,0
acetone_(_H)_C3H5O,57.03404,1,2
acetotacetate (-H2O),84.02112943,78,111
acetotacetate_(_H2O)_C4H4O2,84.0211371,158,250
acetylation (-H),59.01330439,1,0
acetylation (-H2O),42.01056471,3,4
acetylation_(_H2O)_C2H2O,42.010565,245,386
adenine (-H),134.0466702,0,0
adenine_(_H)_C5H4N5,134.04667,7,4
adenosine (-H2O),249.0861894,0,0
Adenosine 5'-diphosphate (-H2O),409.0188541,0,0
adenylate (-H2O),329.0525217,0,0
Alanine,71.03711384,1,0
Alanine_C3H5NO,71.037114,34,40
Arginine,156.1011111,0,0
Asparagine,114.0429275,0,0
Asparagine_C4H6N2O2,114.042928,3,1
Aspartic Acid,115.0269431,0,0
Aspartic_Acid_C4H5NO3,115.026944,26,32
biotinyl (-H),243.0803393,0,0
biotinyl (-H2O),226.0775996,1,2
C_10H_10N7O12P3S1,284.775609,0,0
C_10H_12N7O11P3S1,266.765044,0,0
C_10H_2O5P2,19.906451,1,1
C_1H_1N1,0.995249,46,52
C_1H_2O1,1.979265,297,434
C_1H_2O2,17.97418,209,334
C_1H_4O2,15.95853,188,315
C_1H_5N_1O2,0.947631,18,24
C_1H_6O2,13.94288,165,272
C_1H1N_1S1,6.976823,1,3
C_1H1N1O_2S1,2.993141,7,6
C_1H1O1P1,35.9765,2,2
C_1H1O2P1,51.971418,3,3
C_1H2O,6.010565,218,330
C_1H2O2,22.00548,140,241
C_1H4O,8.026215,140,255
C_1H4O2,24.02113,119,202
C_1O1,3.994915,272,403
C_1O2,19.98983,190,288
C_1O3,35.984745,117,200
C_2H_2O1S2,53.923409,0,0
C_2H_2O2,5.97418,171,288
C_2H2O2,10.00548,131,226
C_2N_1O1P1,8.965604,0,3
C_2O2,7.98983,144,246
C_3H_2O3,9.969095,60,138
C_4H1N2O1P1,27.982651,1,1
C_7H_2O4P2,39.911536,0,1
C_7H_4O5P2,53.890801,0,1
C_8H_4N7O10P3S1,282.832729,0,0
C_8H_6N7O12P3S1,312.806909,0,0
C_8H_6N7O9P3S1,264.822164,0,0
C_8H_8N7O11P3S1,294.796344,0,0
