sample,NA,Lignin,Other,Tannin,Protein,Lignin_Amino Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond Hydrocarbon,Unsat Hydrocarbon_Cond Hydrocarbon,Protein_Amino Sugar,Carbohydrate_Amino Sugar,Protein_Lignin,Protein_Lignin_Amino Sugar,Lignin_Tannin
RC2_0003,2146,2277,691,462,837,84,8,120,366,132,163,94,22,8,20,11,2,1,10
RC2_0004,1854,2364,676,502,733,94,5,103,419,120,161,109,22,8,21,10,2,1,9
RC2_0005,1932,2291,614,432,887,86,9,124,365,115,155,83,23,7,23,13,2,1,10
RC2_0006,2007,2300,655,459,927,88,9,146,399,112,167,95,24,8,23,13,3,1,9
RC2_0007,2045,2098,600,402,738,85,7,131,323,113,145,76,19,10,21,11,2,1,9
RC2_0008,1837,2449,694,516,761,95,7,97,443,127,159,82,24,8,21,14,4,1,11
RC2_0009,1771,2474,599,524,701,88,4,84,429,108,163,89,26,8,20,10,3,1,9
RC2_0010,1807,2301,618,487,789,94,5,109,383,116,170,90,23,9,22,10,3,1,9
RC2_0011,1833,2472,670,481,783,93,6,133,427,127,164,93,24,9,23,12,4,1,9
RC2_0012,1807,2383,628,468,876,96,4,114,408,121,168,92,24,7,21,12,3,1,9
RC2_0013,2179,2064,695,456,749,87,6,127,335,107,157,119,19,8,21,16,3,1,9
RC2_0014,1803,2445,694,520,706,86,4,109,438,151,155,92,25,7,23,10,2,1,9
RC2_0015,2016,2387,697,527,701,89,6,99,435,137,161,96,26,8,20,11,3,1,9
RC2_0016,1887,2430,687,505,877,91,8,128,426,135,170,84,23,5,22,16,4,1,10
RC2_0017,1952,2470,737,510,851,91,7,130,429,123,173,104,24,11,20,15,4,1,10
RC2_0018,1691,2482,687,501,857,92,8,112,452,127,170,101,24,5,21,13,2,1,9
RC2_0019,1779,1882,504,340,735,78,9,111,266,94,150,75,18,6,19,7,4,1,10
RC2_0020,1954,2348,653,534,691,92,5,93,439,136,153,82,26,8,19,10,2,1,9
RC2_0021,2070,2334,749,495,746,86,6,111,440,122,162,92,25,13,17,10,2,1,9
RC2_0022,1796,2340,634,450,870,87,5,126,394,116,164,93,24,7,24,13,2,1,9
RC2_0023,1930,2217,632,397,959,86,11,179,366,131,161,104,21,6,21,15,2,1,10
RC2_0024,2040,2318,662,497,845,90,8,123,396,111,164,121,21,8,22,13,3,1,9
RC2_0025,2162,2055,665,427,758,91,8,152,300,123,160,109,20,11,20,15,4,1,9
RC2_0026,1924,2351,664,482,678,89,6,111,407,135,146,77,25,7,20,9,2,1,9
RC2_0027,2137,2148,651,420,692,85,6,145,355,131,138,91,22,9,21,9,3,1,9
RC2_0028,1845,2306,635,463,836,87,8,125,399,131,164,92,23,6,24,13,2,1,9
RC2_0029,1889,2195,618,418,912,88,8,154,377,117,173,84,24,8,23,13,3,1,9
RC2_0030,2115,2292,691,465,937,89,8,162,397,113,168,117,24,9,24,17,2,1,9
RC2_0031,1976,1879,596,364,971,84,11,166,292,153,171,88,18,6,26,18,3,1,9
RC2_0032,1696,2195,737,460,866,90,7,200,335,147,176,88,24,10,23,17,4,1,11
RC2_0033,2008,2098,646,432,965,83,11,171,349,136,173,103,23,8,27,13,3,1,9
RC2_0034,1817,2120,601,429,968,87,12,170,370,104,177,101,22,6,26,19,3,1,10
RC2_0035,1645,2326,628,425,1031,91,12,182,370,120,178,82,23,7,28,14,4,1,9
RC2_0036,1724,2195,623,458,940,89,11,135,419,123,186,127,23,9,28,21,4,1,9
RC2_0037,1841,2273,747,586,883,95,11,112,476,129,189,138,26,11,24,19,3,1,10
RC2_0038,1876,2288,666,450,889,83,11,161,381,133,170,79,23,7,22,11,4,1,9
RC2_0039,1966,2240,747,515,930,89,12,207,453,160,169,110,23,5,24,18,4,1,9
RC2_0040,1913,2164,647,455,948,91,10,176,423,154,170,84,23,7,24,14,4,1,9
