Sample,CHONS,CHONP,CHON,CHO,CHOS,CHOP,CHONSP,CHOSP
RC2_0003,91,222,470,2609,396,1100,242,178
RC2_0004,118,190,563,2570,429,1065,270,154
RC2_0005,88,227,565,2576,387,1063,215,119
RC2_0006,99,257,609,2639,410,1056,237,131
RC2_0007,85,225,525,2238,329,1067,173,149
RC2_0008,119,167,506,2741,474,1051,275,180
RC2_0009,106,169,551,2701,390,1001,260,162
RC2_0010,98,224,607,2476,402,1029,248,155
RC2_0011,100,219,662,2563,477,1037,286,187
RC2_0012,97,246,676,2518,428,1056,245,169
RC2_0013,98,262,529,2244,360,1127,195,164
RC2_0014,132,169,511,2644,456,1066,301,198
RC2_0015,137,196,527,2605,423,1063,284,178
RC2_0016,111,237,622,2652,488,1078,279,155
RC2_0017,119,250,688,2608,507,1093,292,153
RC2_0018,106,231,726,2557,475,1090,297,182
RC2_0019,57,226,444,2106,255,981,125,115
RC2_0020,104,174,483,2607,424,1053,267,189
RC2_0021,126,193,533,2590,444,1076,266,192
RC2_0022,88,216,593,2614,443,1035,226,144
RC2_0023,77,266,629,2456,457,1060,228,146
RC2_0024,128,274,766,2390,456,1003,242,153
RC2_0025,81,268,535,2231,339,1116,200,158
RC2_0026,99,167,490,2567,404,1053,263,176
RC2_0027,99,210,516,2348,392,1008,202,161
RC2_0028,88,216,599,2535,446,1036,247,157
RC2_0029,61,271,613,2438,403,1067,232,140
RC2_0030,118,293,750,2472,446,1043,240,163
RC2_0031,95,345,528,2168,312,1076,158,174
RC2_0032,244,276,509,2388,535,1081,235,123
RC2_0033,127,361,552,2425,368,1088,198,132
RC2_0034,87,341,653,2375,383,1055,184,148
RC2_0035,111,308,709,2564,483,1042,212,102
RC2_0036,113,318,756,2344,433,1088,199,150
RC2_0037,126,264,567,2704,443,1226,262,141
RC2_0038,132,267,516,2654,398,1053,233,135
RC2_0039,176,284,592,2679,458,1114,237,176
RC2_0040,99,287,602,2508,425,1099,225,159
RC2_0041,116,313,701,2407,433,1030,208,169
RC2_0042,95,320,742,2241,366,1061,166,163
RC2_0043,57,245,475,2228,220,1061,115,132
RC2_0044,75,194,455,2381,261,1040,163,148
RC2_0045,70,235,577,2584,287,1129,176,138
RC2_0046,77,233,659,2503,416,1183,185,122
RC2_0048,78,230,799,2437,421,1090,213,113
RC2_0049,82,253,757,2549,443,1053,206,138
RC2_0050,73,319,535,2548,319,1221,129,117
RC2_0051,119,264,522,2609,555,1140,218,149
RC2_0052,87,244,562,2628,306,1100,187,178
RC2_0053,79,292,649,2532,317,1127,180,146
RC2_0054,95,234,811,2609,446,1061,218,117
RC2_0055,88,308,589,2627,357,1172,171,110
RC2_0056,90,218,487,2679,363,1117,204,119
