sample,AI.mean,AI.median,AI.sd,AI.Mod.mean,AI.Mod.median,AI.Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE.O.mean,DBE.O.median,DBE.O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,mass.mean,mass.median,mass.sd,number.of.peaks,peaks.with.formula
RC2_0003,0.093973504,0,0.188007611,0.244966087,0.217391304,0.208711451,10.88470234,10,5.973678806,-0.106443105,-1,6.668138988,496.4880416,484.5019814,155.4997681,0.425561883,0.40594542,0.169662321,-0.330905872,-0.352941176,0.564713748,1.258187325,1.25,0.368597122,0.47008464,0.46875,0.18457945,0.014141487,0,0.038451466,0.01500212,0,0.023336105,0.421928817,0,0.776922425,526.3748674,519.2483021,148.1909801,7454,5308
RC2_0004,0.097759945,0,0.191151695,0.255254129,0.227272727,0.208238405,11.14610935,10,5.874648598,0.132487404,-1,6.696340278,495.5812923,482.5173643,154.7579023,0.426610059,0.410258111,0.161932236,-0.283971554,-0.307692308,0.547902613,1.228890378,1.227272727,0.352618265,0.475297344,0.472222222,0.186977176,0.015108141,0,0.0378576,0.014246624,0,0.022910588,0.444312091,0,0.798741255,523.2694253,517.2574261,148.250131,7213,5359
RC2_0005,0.090566142,0,0.18125463,0.244104191,0.217391304,0.205013459,10.6278626,10,5.760843068,-0.092557252,-1,6.383735025,485.0137264,470.6734075,150.3839184,0.409865345,0.389012028,0.160887208,-0.334349739,-0.352941176,0.556580963,1.259352805,1.25,0.360680186,0.467445379,0.466666667,0.177436748,0.014595832,0,0.037083735,0.014242599,0,0.022935052,0.417487685,0,0.765452178,513.8253355,509.2352778,144.5576858,7172,5240
RC2_0006,0.092982133,0,0.188117092,0.246200745,0.214285714,0.211166929,10.63994115,10,5.909267446,-0.032916513,-1,6.526683081,485.2203232,468.7202681,151.970581,0.410032744,0.388151002,0.165295058,-0.321623905,-0.347826087,0.575675743,1.255907776,1.25,0.369847614,0.469441353,0.466666667,0.182796692,0.016034292,0,0.039957366,0.014265292,0,0.023091005,0.454491374,0,0.792362573,511.1722148,504.2163031,145.1023525,7445,5438
RC2_0007,0.093183957,0,0.190551834,0.242211878,0.212121212,0.208228355,10.51805469,10,5.765750657,0.009601336,-1,6.664046153,483.2463776,470.6464881,145.3683937,0.415559216,0.400037273,0.165694198,-0.350477927,-0.37037037,0.564243074,1.266724865,1.263157895,0.368670328,0.464609131,0.464285714,0.184145504,0.015736089,0,0.040198823,0.015559271,0,0.023549026,0.395291202,0,0.781768471,508.6732253,503.077494,137.376895,6836,4791
RC2_0008,0.102040191,0,0.192979957,0.261362023,0.236363636,0.205805534,11.67168511,11,6.144276338,0.434246327,-1,7.070380354,510.6076686,498.556728,159.0773858,0.436004826,0.422519204,0.163083337,-0.289585259,-0.3125,0.536380945,1.219561523,1.214285714,0.350566441,0.467376206,0.466666667,0.185593353,0.013628168,0,0.036596858,0.013270999,0,0.021914964,0.453078302,0,0.843837302,539.6418913,534.1621656,152.5926228,7350,5513
RC2_0009,0.094338045,0,0.182241262,0.258315094,0.235294118,0.199674845,11.4488764,11,5.796916517,0.133333333,-1,6.602953965,505.3760149,492.5118291,159.6281699,0.431607114,0.415573521,0.16086438,-0.275420079,-0.296296296,0.532280107,1.219318548,1.217391304,0.337768638,0.474974999,0.473684211,0.180440037,0.01377303,0,0.035891599,0.013261109,0,0.022066353,0.427763819,0,0.78069609,535.2081425,529.224951,152.7364109,7111,5340
RC2_0010,0.092530026,0,0.185943035,0.249324768,0.220338983,0.20633586,10.81122352,10,5.723692246,-0.008016797,-1,6.513440495,490.7971776,478.5688078,150.0303677,0.418689522,0.402102519,0.158934187,-0.30109706,-0.322580645,0.552101434,1.242211363,1.238095238,0.354275129,0.473346744,0.472222222,0.180239409,0.015539387,0,0.03631795,0.014341842,0,0.022714038,0.448671498,0,0.799409555,515.7635325,511.2548887,143.3288486,7046,5239
RC2_0011,0.097656284,0,0.185803624,0.254501274,0.227272727,0.203701841,11.09184596,10,5.903830587,0.32073766,-1,6.75407601,494.6908758,482.5461824,154.602932,0.420612515,0.402490939,0.159153598,-0.304750856,-0.333333333,0.540221682,1.234556103,1.227272727,0.347361465,0.465731664,0.466666667,0.18232476,0.015634281,0,0.03552487,0.013907439,0,0.022380946,0.476576056,0,0.838629466,520.8985666,515.1923108,148.8259561,7364,5531
RC2_0012,0.094310092,0,0.186144101,0.248298254,0.220338983,0.206611551,10.83955842,10,5.839689046,0.110947562,-1,6.601771138,491.3095206,478.6273731,152.1513559,0.415693433,0.398089232,0.157780607,-0.311528746,-0.333333333,0.547202002,1.245525464,1.24,0.352901528,0.468533813,0.466666667,0.178912926,0.016124382,0,0.037978962,0.014225091,0,0.022800041,0.451631702,0,0.80847747,516.028233,513.030989,145.3333873,7242,5435
