sample,total.transformations,number.of.peaks,normalized.transformations
RC2_0001,73556,6879,10.69283326
RC2_0002,72788,7223,10.07725322
RC2_0003,73179,7454,9.817413469
RC2_0004,73391,7213,10.17482324
RC2_0005,76354,7172,10.64612381
RC2_0006,79601,7445,10.69187374
RC2_0007,67670,6836,9.89906378
RC2_0008,71690,7350,9.753741497
RC2_0009,72293,7111,10.16636197
RC2_0010,73645,7046,10.45202952
RC2_0011,75992,7364,10.31939163
RC2_0012,75777,7242,10.46354598
RC2_0013,68993,7158,9.638586197
RC2_0014,68527,7280,9.413049451
RC2_0015,71403,7429,9.611387805
RC2_0016,77058,7509,10.2620855
RC2_0017,77872,7662,10.16340381
RC2_0018,76753,7355,10.43548606
RC2_0019,64475,6088,10.59050591
RC2_0020,70042,7255,9.654307374
RC2_0021,71625,7490,9.562750334
RC2_0022,75881,7155,10.60531097
RC2_0023,75748,7249,10.4494413
RC2_0024,75566,7452,10.140365
RC2_0025,69389,7090,9.786882934
RC2_0026,68076,7143,9.530449391
RC2_0027,67466,7073,9.538526792
RC2_0028,74698,7169,10.41958432
RC2_0029,76982,7114,10.82119764
RC2_0030,78131,7640,10.22657068
RC2_0031,70404,6832,10.30503513
RC2_0032,69589,7087,9.819246508
RC2_0033,73537,7259,10.13045874
RC2_0034,77250,7043,10.96833736
RC2_0035,80302,7176,11.19035674
RC2_0036,79023,7125,11.09094737
RC2_0037,79234,7574,10.46131503
RC2_0038,73949,7264,10.18020374
RC2_0039,78455,7682,10.2128352
RC2_0040,76919,7317,10.51236846
RC2_0041,79156,7639,10.36208928
RC2_0042,78611,6953,11.30605494
RC2_0043,71561,6809,10.50976649
RC2_0044,72528,6694,10.83477741
RC2_0045,80752,7271,11.10603768
RC2_0046,81963,7315,11.20478469
RC2_0048,82304,7221,11.39786733
RC2_0049,83603,7461,11.20533441
RC2_0050,82423,7486,11.01028587
RC2_0051,77871,7713,10.09607157
RC2_0052,80488,7478,10.7633057
RC2_0053,83871,7321,11.45622183
RC2_0054,86252,7448,11.58055854
RC2_0055,84175,7732,10.88657527
RC2_0056,79093,7516,10.52328366
RC2_0057,79295,7041,11.26189462
RC2_0058,82460,7754,10.63451122
RC2_0059,84518,7624,11.08578174
RC2_0060,85956,7688,11.1805411
RC2_0061,76490,7032,10.87741752
RC2_0062,77712,7246,10.72481369
RC2_0063,82559,7641,10.8047376
RC2_0064,82551,7189,11.48296008
RC2_0065,86966,7432,11.70156082
RC2_0066,82688,7073,11.6906546
RC2_0067,67586,7074,9.554141928
RC2_0068,78310,7432,10.5368676
RC2_0069,81135,7494,10.82666133
RC2_0070,80888,7416,10.90722762
RC2_0071,84813,7416,11.43648867
RC2_0072,83425,7364,11.32876154
RC2_0073,82932,7240,11.45469613
RC2_0074,83356,7192,11.59010011
RC2_0075,81569,7239,11.26799282
RC2_0076,81556,7457,10.93683787
RC2_0077,81367,7536,10.79710722
RC2_0078,69941,6814,10.26430878
RC2_0079,68514,6865,9.980189366
RC2_0080,77278,7339,10.52977245
RC2_0081,79667,7013,11.35990304
RC2_0082,86976,7836,11.09954058
RC2_0083,87163,7270,11.98940853
RC2_0084,87863,7349,11.9557763
RC2_0085,67786,6982,9.708679461
RC2_0086,76963,7260,10.60096419
RC2_0087,83764,7834,10.69236661
RC2_0088,84415,7306,11.55420203
RC2_0089,85571,7520,11.37912234
RC2_0090,82838,7130,11.61823282
RC2_0091,52598,6075,8.658106996
RC2_0092,62997,6215,10.13628319
RC2_0093,83747,7808,10.72579406
RC2_0094,79058,7165,11.03391486
RC2_0095,78260,7275,10.75738832
RC2_0096,78656,7116,11.05340079
RC2_0097,77116,7245,10.64403037
RC2_0098,77813,7115,10.93647224
RC2_0099,80163,7174,11.17410092
RC2_0100,88978,7968,11.16691767
RC2_0101,63701,7452,8.548174987
RC2_0103,78478,7197,10.90426567
RC2_0104,72972,6559,11.12547644
RC2_0105,76928,7031,10.94126013
RC2_0106,79541,6978,11.39882488
RC2_0107,64865,8423,7.700937908
RC2_0108,79122,8059,9.817843405
RC2_0109,82135,7342,11.18700627
RC2_0110,76820,7077,10.85488201
RC2_0111,72029,6745,10.67887324
RC2_0112,73830,6643,11.11395454
RC2_0113,64206,7417,8.656599703
RC2_0114,66073,6716,9.838147707
RC2_0115,75910,7364,10.30825638
RC2_0116,76414,6894,11.08413113
RC2_0117,79277,7299,10.86135087
RC2_0118,69925,6409,10.91043845
RC2_0119,61873,6851,9.031236316
RC2_0120,73173,7771,9.416162656
RC2_0121,76424,6953,10.99151445
RC2_0122,81143,7499,10.8205094
RC2_0123,75752,7250,10.44855172
RC2_0124,76534,7180,10.65933148
RC2_0125,64955,6799,9.553610825
RC2_0126,68974,6918,9.970222608
RC2_0127,78841,7544,10.45082185
RC2_0128,73300,7096,10.32976325
RC2_0129,70960,6639,10.68835668
RC2_0130,72689,6882,10.56219122
RC2_0131,72229,7272,9.932480748
RC2_0132,67263,6989,9.624123623
RC2_0133,68209,6821,9.999853394
RC2_0134,71861,6648,10.80941637
RC2_0135,75090,7185,10.45093946
RC2_0136,72751,7112,10.22933071
RC2_0137,76437,7108,10.75365785
RC2_0138,72687,7251,10.02441043
RC2_0139,76734,7405,10.3624578
RC2_0140,73234,7338,9.98010357
RC2_0141,77621,7417,10.46528246
RC2_0142,76544,6819,11.22510632
RC2_0143,74090,7202,10.28742016
RC2_0144,72960,7341,9.93870045
RC2_0145,74705,7392,10.10619589
RC2_0146,75664,7251,10.43497449
RC2_0147,77910,7100,10.97323944
RC2_0148,72779,6986,10.41783567
RC2_0149,75330,7254,10.38461538
RC2_0150,69072,6701,10.30771527
RC2_0151,87369,8910,9.805723906
RC2_0152,73836,6879,10.73353685
RC2_0153,71823,6294,11.41134414
RC2_0154,80870,7158,11.29784856
RC2_0155,70656,6769,10.43817403
RC2_0156,72215,7284,9.914195497
RC2_0157,70448,6637,10.61443423
RC2_0158,71923,6790,10.59248895
RC2_0159,71109,6621,10.73991844
RC2_0160,74380,7046,10.55634402
RC2_0163,69156,6437,10.74351406
RC2_0164,66378,6058,10.95708155
RC2_0165,73236,6727,10.88687379
RC2_0166,68728,6300,10.90920635
RC2_0167,78362,7384,10.6124052
RC2_0177,79017,6818,11.58946905
RC2_0178,71173,6577,10.82149916
RC2_0179,66821,6143,10.87758424
RC2_0183,63037,5849,10.77739785
RC2_0184,69827,6607,10.56863932
RC2_0187,76119,7093,10.73156633
RC2_0188,76604,6908,11.08917197
RC2_0189,75687,6843,11.06049978
RC2_0190,71745,6584,10.8968712
RC2_0191,72153,6768,10.66090426
RC2_0192,67731,6833,9.912337187
RC2_0193,79344,7348,10.79804028
RC2_0194,74740,6779,11.02522496
RC2_0195,68364,6831,10.00790514
RC2_0196,68559,6821,10.05116552
RC2_0197,72692,6812,10.67116853
RC2_0198,71607,6929,10.33439169
RC2_0199,70477,6733,10.46739938
RC2_0200,78218,7610,10.278318
RC2_0201,75571,8154,9.267966642
RC2_0202,78634,7853,10.01324335
RC2_0203,78412,7731,10.14254301
RC2_0204,79992,7894,10.13326577
RC2_0205,83265,8349,9.973050665
RC2_0206,74465,7200,10.34236111
RC2_0207,74203,7736,9.591907963
RC2_0208,76895,7435,10.34229993
RC2_0209,79403,7919,10.02689734
RC2_0210,81079,8138,9.963013025
RC2_0211,81221,7999,10.15389424
WROL2019_001,49763,5740,8.669512195
WROL2019_002,8650,1819,4.755360088
WROL2019_003,27944,3756,7.439829606
WROL2019_004,73858,5996,12.31787859
WROL2019_005,61388,5139,11.94551469
WROL2019_006,28032,3532,7.936579841
WROL2019_007,50058,4502,11.1190582
WROL2019_008,50000,4606,10.85540599
WROL2019_009,61084,4910,12.4407332
WROL2019_010,64298,5268,12.20539104
WROL2019_011,66350,6078,10.91641987
WROL2019_012,61189,5953,10.27868302
WROL2019_013,24317,3157,7.702565727
WROL2019_014,43300,4119,10.51226026
WROL2019_015,34051,3579,9.514110087
WROL2019_016,60029,5184,11.57966821
WROL2019_017,34054,3450,9.870724638
WROL2019_018,55465,4432,12.51466606
WROL2019_019,67684,5527,12.24606477
WROL2019_020,56895,5199,10.94345066
WROL2019_021,54985,5023,10.94664543
WROL2019_022,29929,3466,8.635025967
WROL2019_023,59603,5062,11.77459502
WROL2019_024,18124,2309,7.849285405
WROL2019_025,17942,2851,6.293230445
WROL2019_026,16970,2500,6.788
WROL2019_029,34258,3794,9.029520295
WROL2019_030,43050,4360,9.873853211
WROL2019_033,37357,3737,9.996521274
WROL2019_034,37571,4048,9.281373518
WROL2019_035,58243,5288,11.01418306
WROL2019_036,46785,4465,10.47816349
WROL2019_037,20599,2622,7.856216629
WROL2019_042,16240,2466,6.585563666
WROL2019_043,50481,4556,11.08011414
WROL2019_044,20624,2337,8.824989303
WROL2019_045,22282,2692,8.277117385
WROL2019_046,15107,1984,7.614415323
WROL2019_048,31444,3522,8.927881885
WROL2019_049,60008,5684,10.55735398
WROL2019_050,37382,4329,8.635250635
WROL2019_051,51538,4876,10.56972929
WROL2019_052,52248,4483,11.65469552
WROL2019_053,47429,4779,9.924461184
WROL2019_054,60290,5227,11.53434092
WROL2019_055,51812,4716,10.98642918
WROL2019_056,33199,3546,9.362380147
WROL2019_057,60113,4788,12.55492899
WROL2019_058,53248,4359,12.21564579
WROL2019_059,30629,3174,9.649968494
WROL2019_060,65172,5248,12.41844512
WROL2019_061,53048,4503,11.78059072
WROL2019_062,44821,4284,10.4624183
WROL2019_063,67404,5765,11.69193408
WROL2019_064,62333,5487,11.36012393
WROL2019_065,65659,5415,12.12539243
WROL2019_066,60164,5011,12.00638595
WROL2019_067,58737,4964,11.83259468
WROL2019_068,66119,5593,11.82174146
WROL2019_069,64497,5609,11.49884115
WROL2019_070,66113,5443,12.1464266
WROL2019_071,68143,5735,11.88195292
WROL2019_072,69002,5928,11.6400135
WROL2019_073,64040,5072,12.62618297
WROL2019_074,28330,3569,7.937797702
WROL2019_075,30187,3449,8.752391998
WROL2019_076,46765,4660,10.03540773
WROL2019_077,32168,3241,9.925331688
WROL2019_078,69637,5953,11.69779943
WROL2019_079,62766,5214,12.03797468
WROL2019_080,48628,4407,11.03426367
WROL2019_081,45244,4358,10.38182653
WROL2019_082,56910,5241,10.85861477
WROL2019_083,61820,5384,11.48216939
WROL2019_084,42715,3694,11.56334597
WROL2019_085,40416,3749,10.78047479
WROL2019_086,68191,5745,11.86962576
WROL2019_097,69505,5645,12.31266608
WROL2019_098,59612,5106,11.67489228
WROL2019_099,56978,5149,11.06583803
WROL2019_100,72720,6060,12
WROL2019_1001,59445,5140,11.5651751
WROL2019_1002,42239,4018,10.512444
WROL2019_1003,51343,4439,11.56634377
WROL2019_1004,71361,8146,8.76025043
WROL2019_101,69573,5823,11.94796497
WROL2019_102,69803,5824,11.98540522
WROL2019_103,68049,5989,11.36233094
WROL2019_104,65823,5568,11.82165948
WROL2019_105,64172,5652,11.35385704
WROL2019_106,51525,4992,10.32151442
WROL2019_107,38447,3662,10.4989077
WROL2019_108,64169,6018,10.6628448
WROL2019_109,48957,4589,10.66833733
WROL2019_110,28609,3228,8.862763321
WROL2019_111,55704,5951,9.360443623
WROL2019_112,71403,5984,11.93231952
WROL2019_113,42827,3978,10.7659628
WROL2019_114,65197,5450,11.96275229
WROL2019_115,39646,3986,9.946312092
WROL2019_116,49850,4610,10.81344902
WROL2019_117,29531,4044,7.302423343
WROL2019_118,32116,3607,8.90379817
WROL2019_119,56299,4735,11.88996832
WROL2019_120,72124,5757,12.52805281
WROL2019_121,43354,4374,9.911751257
WROL2019_122,42195,4429,9.52698126
WROL2019_123,57337,5273,10.87369619
WROL2019_124,56669,5045,11.23270565
WROL2019_125,63604,5499,11.56646663
WROL2019_126,65498,5470,11.97404022
WROL2019_128,56793,4642,12.23459716
WROL2019_130,66584,5568,11.95833333
WROL2019_134,59906,5240,11.43244275
WROL2019_135,62390,5420,11.51107011
WROL2019_136,46702,4691,9.955659774
WROL2019_137,59802,5551,10.77319402
WROL2019_138,57495,4883,11.77452386
WROL2019_139,31521,3972,7.935800604
WROL2019_140,26292,3413,7.703486669
WROL2019_145,61505,4988,12.33059342
WROL2019_146,49328,4883,10.10198648
WROL2019_147,55824,5155,10.82909796
WROL2019_148,62343,5482,11.37230938
WROL2019_149,61988,5091,12.17599686
WROL2019_150,45320,3905,11.6056338
