# HeaderRows_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date; YYYY-MM-DD; WaterColumn_Handheld; Cellular phone (iPhone or Android) or wrist watch set to Pacific Standard Time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Time_1; hh:mm  UTC-08:00; WaterColumn_Handheld; Cellular phone (iPhone or Android) or wrist watch set to Pacific Standard Time recorded manually at first time point.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Time_2; hh:mm UTC-08:00; WaterColumn_Handheld; Cellular phone (iPhone or Android) or wrist watch set to Pacific Standard Time recorded manually at second time point.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Time_3; hh:mm  UTC-08:00; WaterColumn_Handheld; Cellular phone (iPhone or Android) or wrist watch set to Pacific Standard Time recorded manually at third time point.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Specific_Conductance_1; microsiemens_per_centimeter; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Specific_Conductance_2; microsiemens_per_centimeter; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Specific_Conductance_3; microsiemens_per_centimeter; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Specific_Conductance_Mean; microsiemens_per_centimeter; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Specific_Conductance_Range; microsiemens_per_centimeter; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_pH_1; pH; WaterColumn_Handheld; Ultrameter II 6PFCE with pH sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_pH_2; pH; WaterColumn_Handheld; Ultrameter II 6PFCE with pH sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_pH_3; pH; WaterColumn_Handheld; Ultrameter II 6PFCE with pH sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_pH_Mean; pH; WaterColumn_Handheld; Ultrameter II 6PFCE with pH sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_pH_Range; pH; WaterColumn_Handheld; Ultrameter II 6PFCE with pH sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Total_Dissolved_Solids_1; parts_per_million; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell. Specific conductance converted to total dissolved solids using standard conversion ratio for freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Total_Dissolved_Solids_2; parts_per_million; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell. Specific conductance converted to total dissolved solids using standard conversion ratio for freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Total_Dissolved_Solids_3; parts_per_million; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell. Specific conductance converted to total dissolved solids using standard conversion ratio for freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Total_Dissolved_Solids_Mean; parts_per_million; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell. Specific conductance converted to total dissolved solids using standard conversion ratio for freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Total_Dissolved_Solids_Range; parts_per_million; WaterColumn_Handheld; Ultrameter II 6PFCE with four-electrode conductivity cell. Specific conductance converted to total dissolved solids using standard conversion ratio for freshwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Temperature_1; degree_celsius; WaterColumn_Handheld; Ultrameter II 6PFCE with temperature sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Temperature_2; degree_celsius; WaterColumn_Handheld; Ultrameter II 6PFCE with temperature sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Temperature_3; degree_celsius; WaterColumn_Handheld; Ultrameter II 6PFCE with temperature sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Temperature_Mean; degree_celsius; WaterColumn_Handheld; Ultrameter II 6PFCE with temperature sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ultrameter_Temperature_Range; degree_celsius; WaterColumn_Handheld; Ultrameter II 6PFCE with temperature sensor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Site_ID,Ultrameter_Time_1,Ultrameter_Time_2,Ultrameter_Time_3,Ultrameter_Specific_Conductance_1,Ultrameter_Specific_Conductance_2,Ultrameter_Specific_Conductance_3,Ultrameter_Specific_Conductance_Mean,Ultrameter_Specific_Conductance_Range,Ultrameter_Specific_Conductance_Outlier,Ultrameter_pH_1,Ultrameter_pH_2,Ultrameter_pH_3,Ultrameter_pH_Mean,Ultrameter_pH_Range,Ultrameter_pH_Outlier,Ultrameter_Total_Dissolved_Solids_1,Ultrameter_Total_Dissolved_Solids_2,Ultrameter_Total_Dissolved_Solids_3,Ultrameter_Total_Dissolved_Solids_Mean,Ultrameter_Total_Dissolved_Solids_Range,Ultrameter_Total_Dissolved_Solids_Outlier,Ultrameter_Temperature_1,Ultrameter_Temperature_2,Ultrameter_Temperature_3,Ultrameter_Temperature_Mean,Ultrameter_Temperature_Range,Ultrameter_Temperature_Outlier
 2021-04-20,T06,10:33,10:36,10:37,57.07,56.17,55.96,56.4,1.11,No,8.47,8.36,8.26,8.36,0.21,No,-9999,-9999,-9999,-9999,-9999,No,4.3,4.3,4.3,4.3,0,No
 2021-04-20,T05P,12:14,12:15,12:16,55.47,55.41,55.34,55.41,0.13,No,7.95,8,7.96,7.97,0.05,No,-9999,-9999,-9999,-9999,-9999,No,5.1,4.9,4.9,4.97,0.2,No
 2021-04-20,T41,14:12,14:12,14:13,64.2,64.1,64.32,64.21,0.22,No,7.98,7.98,7.97,7.98,0.01,No,-9999,-9999,-9999,-9999,-9999,No,8,7.9,7.8,7.9,0.2,No
 2021-04-21,T03,8:48,8:50,8:51,89.97,89.92,88.9,89.6,1.07,No,8.1,8.01,7.95,8.02,0.15,No,-9999,-9999,-9999,-9999,-9999,No,8.3,7.9,7.8,8,0.5,No
 2021-04-21,T02,12:01,12:02,12:02,108.2,110,110,109.4,1.8,No,7.77,7.88,7.87,7.84,0.11,No,-9999,-9999,-9999,-9999,-9999,No,13.1,12.3,11.6,12.33,1.5,No
 2021-04-21,T07,15:14,15:16,15:18,116.5,116.9,116.1,116.5,0.8,No,7.95,7.84,7.75,7.85,0.2,No,-9999,-9999,-9999,-9999,-9999,No,13.9,13.4,13.4,13.57,0.5,No
 2021-04-28,T06,10:20,10:21,10:22,53.85,54.31,54.23,54.13,0.46,No,8.06,7.93,7.92,7.97,0.14,No,35.83,35.57,36.22,35.87,0.65,No,4.9,4.1,4.6,4.53,0.8,No
 2021-04-28,T05P,11:31,11:34,11:37,55.55,55.01,55.51,55.36,0.54,No,7.97,7.8,7.78,7.85,0.19,No,36.72,37.09,37.03,36.95,0.37,No,5.5,5,4.9,5.13,0.6,No
 2021-04-28,T42,13:22,13:24,13:25,65.41,65.32,65.17,65.3,0.24,No,8.02,8.1,8.01,8.04,0.09,No,43.5,43.15,43.01,43.22,0.49,No,8.9,8.3,8.2,8.47,0.7,No
 2021-04-28,T03,14:46,14:47,14:48,94.45,92.92,93.4,93.59,1.53,No,8.02,8.01,8,8.01,0.02,No,60.9,60.47,60.93,60.77,0.46,No,12.6,11.1,11.2,11.63,1.5,No
 2021-04-28,T02,16:06,16:06,16:07,125.1,125.3,125.7,125.37,0.6,No,7.92,7.86,7.83,7.87,0.09,No,80.36,81.01,81.56,80.98,1.2,No,13.7,13.2,13.1,13.33,0.6,No
 2021-04-28,T07,17:41,17:42,17:43,136.6,135.1,137,136.23,1.9,No,7.97,7.97,7.93,7.96,0.04,No,87.79,88.5,88.52,88.27,0.73,No,15.5,15,14.9,15.13,0.6,No
 2021-05-06,T06,9:33,9:35,9:36,59.33,48.01,47.81,51.72,11.52,No,7.82,7.74,7.7,7.75,0.12,No,38.85,32.02,31.91,34.26,6.94,No,7.9,7.9,4.9,6.9,3,No
 2021-05-06,T05P,11:11,11:12,11:13,53.78,51.09,51.03,51.97,2.75,No,7.82,7.75,7.71,7.76,0.11,No,35.53,33.94,33.88,34.45,1.65,No,7.4,5.9,5.6,6.3,1.8,No
 2021-05-06,T42,12:59,12:59,12:59,66.07,59.57,60.72,62.12,6.5,No,7.97,7.98,8.07,8.01,0.1,No,40.11,39.04,39.77,39.64,1.07,No,11.7,11,9.9,10.87,1.8,No
 2021-05-06,T03,15:44,15:45,15:45,93.04,92.31,93.07,92.81,0.76,No,7.99,8.03,8.03,8.02,0.04,No,59.71,59.67,59.99,59.79,0.32,No,13.6,13.6,13.5,13.57,0.1,No
 2021-05-06,T02,16:22,16:23,16:24,126.3,126.6,126.8,126.57,0.5,No,7.84,7.81,7.81,7.82,0.03,No,80.72,81.56,81.7,81.33,0.98,No,14.6,14.3,14.3,14.4,0.3,No
 2021-05-06,T07,17:29,17:29,17:29,139.2,140.4,140.1,139.9,1.2,No,7.83,7.93,7.93,7.9,0.1,No,89.41,89.99,90.31,89.9,0.9,No,17.1,16.5,16.3,16.63,0.8,No
 2021-05-13,T06,8:56,8:57,8:59,46.81,46.94,46.85,46.87,0.13,No,8.15,7.88,7.82,7.95,0.33,No,30.76,31.16,31.19,31.04,0.43,No,5.3,5.2,5,5.17,0.3,No
 2021-05-13,T05P,9:49,9:50,9:57,50.48,50.86,50.55,50.63,0.38,No,7.85,7.75,7.81,7.8,0.1,No,33.37,33.82,33.45,33.55,0.45,No,6,5.5,6.3,5.93,0.8,No
 2021-05-13,T42,11:30,11:32,11:33,55.53,55.63,55.58,55.58,0.1,No,8.08,8.1,8.1,8.09,0.02,No,36.56,36.51,36.59,36.55,0.08,No,9.3,9.6,9.4,9.43,0.3,No
 2021-05-13,T03,13:09,13:10,13:10,94.52,94.66,94.91,94.7,0.39,No,8.2,8.21,8.22,8.21,0.02,No,61,61.27,61.49,61.25,0.49,No,14,13.7,13.6,13.77,0.4,No
 2021-05-13,T02,15:42,15:42,15:42,156.5,156,156.1,156.2,0.5,No,8.29,8.22,8.22,8.24,0.07,No,100.2,99.72,100.1,100.01,0.48,No,18.9,18.7,18.6,18.73,0.3,No
 2021-05-13,T07,17:08,17:09,17:09,169.9,170.2,170.1,170.07,0.3,No,8.29,8.3,8.28,8.29,0.02,No,109.6,110.3,109.6,109.83,0.7,No,19.2,19.2,19.1,19.17,0.1,No
 2021-05-20,T06,9:21,9:22,9:22,44.27,44.02,43.68,43.99,0.59,No,7.85,7.82,7.81,7.83,0.04,No,29.57,29.35,29.22,29.38,0.35,No,5,4.6,4.7,4.77,0.4,No
 2021-05-20,T05P,10:09,10:10,10:10,50.13,50.14,50.19,50.15,0.06,No,7.6,7.76,7.75,7.7,0.16,No,33.42,33.35,33.42,33.4,0.07,No,5.2,5.1,5,5.1,0.2,No
