sample,dataset,sample_n,Site,Watershed,site_description,season_tb
RC2_0200,YRB,200,T06,Yakima,American River,Winter
RC2_0206,YRB,206,T06,Yakima,American River,Spring
RC2_0001,YRB,1,T06,Yakima,American River,Spring
RC2_0007,YRB,7,T06,Yakima,American River,Spring
RC2_0013,YRB,13,T06,Yakima,American River,Spring
RC2_0019,YRB,19,T06,Yakima,American River,Spring
RC2_0025,YRB,25,T06,Yakima,American River,Spring
RC2_0031,YRB,31,T06,Yakima,American River,Spring
RC2_0037,YRB,37,T06,Yakima,American River,Summer
RC2_0043,YRB,43,T06,Yakima,American River,Summer
RC2_0050,YRB,50,T06,Yakima,American River,Summer
RC2_0055,YRB,55,T06,Yakima,American River,Summer
RC2_0061,YRB,61,T06,Yakima,American River,Summer
RC2_0067,YRB,67,T06,Yakima,American River,Summer
RC2_0078,YRB,78,T06,Yakima,American River,Summer
RC2_0079,YRB,79,T06,Yakima,American River,Summer
RC2_0085,YRB,85,T06,Yakima,American River,Summer
RC2_0091,YRB,91,T06,Yakima,American River,Summer
RC2_0101,YRB,101,T06,Yakima,American River,Summer
RC2_0107,YRB,107,T06,Yakima,American River,Summer
RC2_0113,YRB,113,T06,Yakima,American River,Summer
RC2_0119,YRB,119,T06,Yakima,American River,Fall
RC2_0125,YRB,125,T06,Yakima,American River,Fall
RC2_0131,YRB,131,T06,Yakima,American River,Fall
RC2_0137,YRB,137,T06,Yakima,American River,Fall
RC2_0143,YRB,143,T06,Yakima,American River,Fall
RC2_0149,YRB,149,T06,Yakima,American River,Fall
RC2_0155,YRB,155,T06,Yakima,American River,Fall
RC2_0195,YRB,195,T05P,Yakima,Little Naches at Nile,Winter
RC2_0201,YRB,201,T05P,Yakima,Little Naches at Nile,Winter
RC2_0207,YRB,207,T05P,Yakima,Little Naches at Nile,Spring
RC2_0002,YRB,2,T05P,Yakima,Little Naches at Nile,Spring
RC2_0008,YRB,8,T05P,Yakima,Little Naches at Nile,Spring
RC2_0014,YRB,14,T05P,Yakima,Little Naches at Nile,Spring
RC2_0020,YRB,20,T05P,Yakima,Little Naches at Nile,Spring
RC2_0026,YRB,26,T05P,Yakima,Little Naches at Nile,Spring
RC2_0032,YRB,32,T05P,Yakima,Little Naches at Nile,Spring
RC2_0038,YRB,38,T05P,Yakima,Little Naches at Nile,Summer
RC2_0044,YRB,44,T05P,Yakima,Little Naches at Nile,Summer
RC2_0051,YRB,51,T05P,Yakima,Little Naches at Nile,Summer
RC2_0056,YRB,56,T05P,Yakima,Little Naches at Nile,Summer
RC2_0062,YRB,62,T05P,Yakima,Little Naches at Nile,Summer
RC2_0068,YRB,68,T05P,Yakima,Little Naches at Nile,Summer
RC2_0077,YRB,77,T05P,Yakima,Little Naches at Nile,Summer
RC2_0080,YRB,80,T05P,Yakima,Little Naches at Nile,Summer
RC2_0086,YRB,86,T05P,Yakima,Little Naches at Nile,Summer
RC2_0092,YRB,92,T05P,Yakima,Little Naches at Nile,Summer
RC2_0108,YRB,108,T05P,Yakima,Little Naches at Nile,Summer
RC2_0114,YRB,114,T05P,Yakima,Little Naches at Nile,Summer
RC2_0120,YRB,120,T05P,Yakima,Little Naches at Nile,Fall
RC2_0126,YRB,126,T05P,Yakima,Little Naches at Nile,Fall
RC2_0132,YRB,132,T05P,Yakima,Little Naches at Nile,Fall
RC2_0138,YRB,138,T05P,Yakima,Little Naches at Nile,Fall
RC2_0144,YRB,144,T05P,Yakima,Little Naches at Nile,Fall
RC2_0150,YRB,150,T05P,Yakima,Little Naches at Nile,Fall
RC2_0156,YRB,156,T05P,Yakima,Little Naches at Nile,Fall
RC2_0003,YRB,3,T41,Yakima,Naches River Craig Road 1,Spring
RC2_0187,YRB,187,T42,Yakima,Naches River Craig Road 2,Winter
RC2_0193,YRB,193,T42,Yakima,Naches River Craig Road 2,Winter
RC2_0196,YRB,196,T42,Yakima,Naches River Craig Road 2,Winter
RC2_0202,YRB,202,T42,Yakima,Naches River Craig Road 2,Winter
RC2_0208,YRB,208,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0009,YRB,9,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0015,YRB,15,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0021,YRB,21,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0027,YRB,27,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0033,YRB,33,T42,Yakima,Naches River Craig Road 2,Spring
RC2_0039,YRB,39,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0045,YRB,45,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0052,YRB,52,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0057,YRB,57,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0063,YRB,63,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0069,YRB,69,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0076,YRB,76,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0081,YRB,81,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0087,YRB,87,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0093,YRB,93,T42,Yakima,Naches River Craig Road 2,Summer
RC2_0100,YRB,100,T42,Yakima,Naches River Craig Road 2,Summer
