#Columns,20,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,Mean_00691_DIC_mg_per_L_as_C,Mean_00000_NH4_mg_per_L_as_NH4,Mean_71870_Br_mg_per_L,Mean_00915_Ca_mg_per_L,Mean_00940_Cl_mg_per_L,Mean_00950_F_mg_per_L,Mean_01130_Li_mg_per_L,Mean_00925_Mg_mg_per_L,Mean_71851_NO3_mg_per_L_as_NO3,Mean_71856_NO2_mg_per_L_as_NO2,Mean_00653_PO4_mg_per_L_as_PO4,Mean_00935_K_mg_per_L,Mean_00930_Na_mg_per_L,Mean_00945_SO4_mg_per_L_as_SO4,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_00530_TSS_mg_per_L,Mean_Missing_Reps
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,as_Carbon,as_ammonium,N/A,N/A,N/A,N/A,N/A,N/A,as_nitrate,as_nitrite,as_phosphate,N/A,N/A,as_sulfate,as_Carbon,as_Nitrogen,N/A,N/A
MethodID_Analysis,N/A,N/A,DIC_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,NPOC_T_AN_005,TN_T_AN_005,TSS_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,DIC_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,NPOC_T_IN_005,TN_T_IN_005,TSS_T_IN_000,N/A
MethodID_Storage,N/A,N/A,DIC_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,NPOC_T_ST_005,TN_T_ST_005,TSS_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,DIC_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,NPOC_T_PRES_005,TN_T_PRES_005,TSS_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,DIC_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,NPOC_T_PREP_005,TN_T_PREP_005,TSS_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,DIC_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,NPOC_T_DP_005,TN_T_DP_005,TSS_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,0.152-0.189,0.0229-0.085,0.0264-0.165,0.0304-0.0873,0.221-0.439,0.000959-0.0172,0.0155,0.0795-0.112,0.0355-0.0838,0.00605-0.0066,-9999,0.13-0.809,0.017-0.0226,0.00426-0.0407,-9999,-9999,1,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,RC2_0001,Liquid>aqueous,-9999,-9999,1.2,7.92,0.82,0.09,-9999,0.89,0.99,-9999,-9999,0.31,3.22,2.24,1,0.22,61,TRUE
N/A,RC2_0002,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.49,0.2,20,TRUE
N/A,RC2_0003,Liquid>aqueous,-9999,-9999,0.08,7.54,1.34,0.1,-9999,1.44,0.22,-9999,-9999,0.58,4.02,2.27,2.94,0.3,21,TRUE
N/A,RC2_0004,Liquid>aqueous,-9999,-9999,0.08,8.4,2.13,0.06,-9999,2.55,0.57,-9999,-9999,0.68,3.83,2.27,1.85,0.2,21.3,TRUE
N/A,RC2_0005,Liquid>aqueous,-9999,-9999,0.08,9.04,2.81,0.18,-9999,3.19,1.28,-9999,-9999,0.93,4.71,3.35,2.1,0.43,-9999,TRUE
N/A,RC2_0006,Liquid>aqueous,-9999,-9999,0.08,9.83,2.99,0.12,-9999,3.37,1.51,-9999,-9999,1.06,4.93,3.72,2.16,0.48,81.2,TRUE
N/A,RC2_0007,Liquid>aqueous,5.24,-9999,-9999,7.22,0.65,0.03,-9999,0.78,0.59,-9999,-9999,0.26,1.96,2.17,0.82,0.14,510,TRUE
N/A,RC2_0008,Liquid>aqueous,5.69,-9999,-9999,8.71,1.54,0.04,-9999,2.17,0.86,-9999,-9999,0.71,4.29,2.29,1.75,0.15,507,TRUE
N/A,RC2_0009,Liquid>aqueous,6.9,-9999,-9999,7.71,1.33,0.04,-9999,1.45,0.09,-9999,-9999,0.57,3.19,2.33,1.49,-9999,494,TRUE
