wrol_sample_id,whondrs_id,Site,Watershed,Sampling_Event,sample_date,DOC,DOC_SD,season,season_n,season_tb,wrol_mo_end_member
2,162,CT-EBRA,Connecticut,01-Summer 2019,5-Aug-19,2.428,0.311,Summer,3,Summer,seasonal
4,,CT-MOOS,Connecticut,01-Summer 2019,5-Aug-19,4.171,0.544,Summer,8,Summer,seasonal
9,,CT-SLPR,Connecticut,01-Summer 2019,5-Aug-19,1.855,0.399,Summer,8,Summer,seasonal
6,166,CT-PASS,Connecticut,01-Summer 2019,6-Aug-19,2.246,0.064,Summer,3,Summer,seasonal
8,164,CT-POPE,Connecticut,01-Summer 2019,6-Aug-19,0.789,0.013,Summer,3,Summer,seasonal
13,165,CT-W9,Connecticut,01-Summer 2019,6-Aug-19,1.133,0.216,Summer,3,Summer,seasonal
25,3,EAS-BRA,Gunnison,01-Summer 2019,16-Aug-19,0.4,,Summer,3,Summer,seasonal
27,1,EAS-ROC,Gunnison,01-Summer 2019,16-Aug-19,1.304,0.058,Summer,3,Summer,seasonal
28,2,EAS-RUS,Gunnison,01-Summer 2019,16-Aug-19,0.692,,Summer,3,Summer,seasonal
33,5,TAY-RES,Gunnison,01-Summer 2019,16-Aug-19,2.828,0.891,Summer,3,Summer,seasonal
34,4,TAY-TAY,Gunnison,01-Summer 2019,16-Aug-19,1.338,0.068,Summer,3,Summer,seasonal
24,7,EAS-ALM,Gunnison,01-Summer 2019,17-Aug-19,1.238,,Summer,3,Summer,seasonal
26,6,EAS-PUM,Gunnison,01-Summer 2019,17-Aug-19,0.548,,Summer,3,Summer,seasonal
31,9,GUN-R32,Gunnison,01-Summer 2019,17-Aug-19,2.004,,Summer,3,Summer,seasonal
29,11,GUN-GRJ,Gunnison,01-Summer 2019,18-Aug-19,4.427,0.354,Summer,3,Summer,monthly
30,8,GUN-GUN,Gunnison,01-Summer 2019,18-Aug-19,1.777,,Summer,3,Summer,seasonal
32,10,GUN-TUN,Gunnison,01-Summer 2019,18-Aug-19,3.356,0.559,Summer,3,Summer,seasonal
1,169,CT-BUNN,Connecticut,01-Summer 2019,28-Aug-19,1.102,0.064,Summer,3,Summer,seasonal
5,170,CT-NEPA,Connecticut,01-Summer 2019,28-Aug-19,2.437,0.177,Summer,3,Summer,seasonal
7,168,CT-PHEL,Connecticut,01-Summer 2019,28-Aug-19,2.111,0.039,Summer,3,Summer,seasonal
10,171,CT-STIL,Connecticut,01-Summer 2019,28-Aug-19,3.379,0.028,Summer,3,Summer,seasonal
12,167,CT-UNIO,Connecticut,01-Summer 2019,28-Aug-19,3.212,0.007,Summer,3,Summer,seasonal
3,173,CT-FARM,Connecticut,01-Summer 2019,29-Aug-19,2.722,0.636,Summer,3,Summer,seasonal
11,172,CT-THOM,Connecticut,01-Summer 2019,29-Aug-19,2.818,0.021,Summer,3,Summer,monthly
35,16,BLU-BLU,Willamette,01-Summer 2019,4-Sep-19,0.705,0.066,Fall,4,Summer,seasonal
36,15,BLU-TID,Willamette,01-Summer 2019,4-Sep-19,0.613,0.008,Fall,4,Summer,seasonal
37,13,LOO-BLU,Willamette,01-Summer 2019,4-Sep-19,0.534,0.039,Fall,4,Summer,seasonal
38,14,HJA-WS1,Willamette,01-Summer 2019,4-Sep-19,0.673,0.013,Fall,4,Summer,seasonal
39,12,HJA-WS2,Willamette,01-Summer 2019,4-Sep-19,1.572,0.036,Fall,4,Summer,seasonal
40,17,MCK-WAL,Willamette,01-Summer 2019,4-Sep-19,0.612,0.049,Fall,4,Summer,seasonal
43,20,WIL-HAR,Willamette,01-Summer 2019,4-Sep-19,1.074,0.081,Fall,4,Summer,seasonal
41,21,WIL-COR,Willamette,01-Summer 2019,6-Sep-19,1.087,0.04,Fall,4,Summer,seasonal
42,19,WIL-GOS,Willamette,01-Summer 2019,6-Sep-19,1.756,0.1,Fall,4,Summer,seasonal
44,18,WIL-JAS,Willamette,01-Summer 2019,6-Sep-19,1.374,0.387,Fall,4,Summer,seasonal
45,22,WIL-POR,Willamette,01-Summer 2019,7-Sep-19,1.559,0.079,Fall,4,Summer,monthly
15,26,BRO-LAP,Deschutes,01-Summer 2019,10-Sep-19,0.196,0.028,Fall,4,Summer,seasonal
16,25,CUL-LAP,Deschutes,01-Summer 2019,10-Sep-19,0.132,0.01,Fall,4,Summer,seasonal
17,29,DES-BFA,Deschutes,01-Summer 2019,10-Sep-19,1.197,0.197,Fall,4,Summer,seasonal
18,24,DES-LAP,Deschutes,01-Summer 2019,10-Sep-19,0.612,0,Fall,4,Summer,seasonal
21,,DES-WIC,Deschutes,01-Summer 2019,10-Sep-19,1.342,0.092,Summer,9,Summer,seasonal
22,,LDS-LAP,Deschutes,01-Summer 2019,10-Sep-19,1.366,0.071,Summer,9,Summer,seasonal
14,32,BEA-SHI,Deschutes,01-Summer 2019,11-Sep-19,0.388,0.071,#N/A,#N/A,Summer,#N/A
19,30,DES-MAD,Deschutes,01-Summer 2019,11-Sep-19,0.865,0.032,Fall,4,Summer,seasonal
20,33,DES-MOO,Deschutes,01-Summer 2019,11-Sep-19,1.073,0.075,Fall,4,Summer,monthly
23,31,WRM-HOT,Deschutes,01-Summer 2019,11-Sep-19,0.737,0.092,#N/A,#N/A,Summer,#N/A
135,34,DES-MOO,Deschutes,99-Monthly,1-Oct-19,0.791,0.021,Fall,4,Fall,monthly
148,35,WIL-POR,Willamette,99-Monthly,1-Oct-19,1.413,0.264,Fall,4,Fall,monthly
67,216,EAS-ALM,Gunnison,02-Fall 2019,18-Oct-19,1.03,0.04,Fall,4,Fall,seasonal
73,212,GUN-GUN,Gunnison,02-Fall 2019,18-Oct-19,1.42,0.173,Fall,4,Fall,seasonal
74,210,GUN-R32,Gunnison,02-Fall 2019,18-Oct-19,1.495,,Fall,4,Fall,seasonal
76,215,TAY-RES,Gunnison,02-Fall 2019,18-Oct-19,2.006,0.349,Fall,4,Fall,seasonal
77,211,TAY-TAY,Gunnison,02-Fall 2019,18-Oct-19,0.906,0.359,Fall,4,Fall,seasonal
