site,comid,id,fdate,gnis_id,gnis_name,streamorde,areasqkm,slope,DamDensWs,ElevWs,HydrlCondWs,PctImp2019Ws,KffactWs,PctOw2019Ws,PctUrbHi2019Ws,PctDecid2019Ws,PctConif2019Ws,PctMxFst2019Ws,PctCrop2019Ws,PctWdWet2019Ws,PctHbWet2019Ws,RdDensWs,RunoffWs,ClayWs,SandWs,OmWs,PermWs,PopDen2010Ws,CatAreaSqKm,WsAreaSqKm,WWTPAllDensWs,TmeanSite,PrecipSite
BLU-BLU,23773405,nhdflowline_network.2502362,2/12/2001 21:00,1117862,Blue River,4,1.3392,0.04118119,0.0044,929.3189,0.2521,0.17,0.245,1.16,0,0.02,94.96,0.22,0,0.02,0,1.1323,1287.3074,21.6453,29.4914,2.9879,5.9588,0.8504,1.3392,227.9673,0,1.844900012,1080.233032
BLU-TID,23773429,nhdflowline_network.2502369,2/12/2001 21:00,1117862,Blue River,3,1.2159,0.00696185,0,973.6319,0.2614,0.18,0.2482,0.01,0,0.01,95.78,0.15,0,0.03,0,1.1736,1290.6067,19.7765,30.5615,3.0812,6.3983,0.7977,1.2159,119.3625,0,2.004999876,1011.251953
BRO-LAP,23700569,nhdflowline_network.2487863,7/20/2005 21:00, , ,2,9.054,0.0054307,0,1575.2983,0.2159,0.19,0.1469,0.26,0,0,93.56,0,0,1.08,0.32,1.2206,1167.9723,7.7171,58.976,1.8173,19.9247,1.9234,9.054,51.8805,0,,1225.870972
CT-BUNN,6109247,nhdflowline_network.52516,7/20/2008 21:00,205839,Bunnell Brook,1,10.5084,0.01115495,0,280.8124,0.1763,3.43,0.2267,0.43,0.34,50.49,2.71,10.9,0.09,10.14,0.08,2.3797,697,5.491,52.5655,3.2611,15.1543,89.6735,10.5084,10.5084,0,2.129999876,928.9759521
CT-EBRA,4570659,nhdflowline_network.40763,8/12/1999 21:00,1457259,East Branch Passumpsic River,3,22.2633,0.00462611,0,517.5182,0.067,0.44,0.3244,0.7,0.01,54.03,9.56,24.25,0,4.64,0.13,0.9763,642.1618,6.4378,43.7927,1.3085,6.9093,6.4175,22.2633,139.3335,0,1.704899907,503.3179932
CT-FARM,6109717,nhdflowline_network.52264,7/20/2008 21:00,207042,Farmington River,5,0.5454,0.0028107,0.0516,272.6523,0.2093,4.33,0.2337,2.86,0.59,30.52,3.5,33.96,0.86,7.95,0.48,2.7073,696.5002,5.9786,47.3054,2.3805,12.0507,132.2161,0.5454,1492.9416,0.0127,3.259899855,403.802002
CT-MOOS,4570675,nhdflowline_network.40733,8/12/1999 21:00,1458528,Moose River,3,15.2145,0.0070013,0.0048,536.3488,0.0854,0.18,0.348,0.08,0,48.77,12.71,27.59,0,6.51,0.18,0.645,642.8138,6.491,41.8447,1.121,5.9766,2.8145,15.2145,208.9341,0,1.6049999,530.572998
CT-NEPA,6109457,nhdflowline_network.52523,9/5/1999 21:00,209213,Nepaug River,3,12.267,0.00089813,0.0161,256.7364,0.1849,1.67,0.2332,0.3,0.09,34.05,5.69,35.39,0.36,6.91,0.38,2.2817,693.835,5.9666,49.1328,3.1239,11.5319,84.5602,12.267,62.0703,0,11.75990009,237.7059937
CT-PASS,4572379,nhdflowline_network.40915,7/9/2008 21:00,1458902,Passumpsic River,4,5.6574,0.00664459,0.0107,439.55,0.084,1.64,0.3182,0.35,0.22,35.09,15.3,27.47,0.52,4.07,0.25,1.4938,642.2694,6.9412,38.7051,1.3055,5.7279,19.0877,5.6574,1125.1035,0.0027,7.199999809,468.7449951
CT-PHEL,6109235,nhdflowline_network.52531,9/5/1999 21:00,209730,Phelps Brook,1,7.8183,0.02068264,0,246.0159,0.2165,1.59,0.2323,0.25,0,48.35,2.59,19.16,0,13.54,0.14,2.5041,697,5.0791,54.2971,2.7438,18.1766,88.2438,7.8183,7.8183,0,3.574899912,263.9150085
CT-POPE,4572347,nhdflowline_network.40834,8/12/1999 21:00,1459041,Pope Brook,1,11.1456,0.03847092,0,491.5446,0.073,0.8,0.3184,0,0.09,51.8,9.12,17.32,1.29,1.06,0.06,1.016,642,7.7832,32.5976,1.6233,3.2564,13.1213,11.1456,11.1456,0,3.799999952,255.4850006
CT-SLPR,4572307,nhdflowline_network.40798,8/12/1999 21:00,1459534,Sleepers River,3,15.7788,0.00671936,0,402.2143,0.0693,1.79,0.3131,0.03,0.15,32.56,17.34,23.81,0.64,2.6,0.17,1.6145,642,7.6319,35.6211,1.6914,4.546,25.294,15.7788,120.4659,0.0083,4.980000019,1157.957031
CT-STIL,6111419,nhdflowline_network.52344,9/5/1999 21:00,210634,Sandy Brook,4,1.9152,0.00571428,0.0763,367.6508,0.1336,2.46,0.2346,2.26,0.36,29.09,3.32,43.56,0.03,8.06,0.65,2.2027,695.3098,5.9929,48.1566,2.9604,10.7666,66.7449,1.9152,222.6708,0.0135,4.989900112,1122.929932
CT-THOM,7700898,nhdflowline_network.51370,7/20/2008 21:00,206425,Connecticut River,6,1.2924,0.00057272,0.0323,384.49,0.1736,2.28,0.2671,1.92,0.41,30.47,16.05,30.06,0.71,5.24,0.38,1.7842,642.109,6.0304,44.9341,1.5701,9.5096,47.1959,1.2924,25008.6483,0.0052,5.884899616,1028.126953
CT-UNIO,6109643,nhdflowline_network.52286,7/20/2008 21:00,211923,West Branch Farmington River,5,0.8298,1.00E-05,0.0572,339.6061,0.2465,1.7,0.2304,3.76,0.17,30.1,3.63,42.6,0.04,7.61,0.59,2.0687,696.3907,5.9333,46.4966,2.5102,10.1986,55.5349,0.8298,978.5736,0.0051,4.594899654,1278.272949
CUL-LAP,23700639,nhdflowline_network.2487856,2/27/2001 21:00,1140540,Cultus River,2,7.1703,0.00184179,0,1561.3865,0.2819,0.1,0.1688,0.72,0,0.01,94.5,0.05,0,0.21,0.2,0.2405,1168.437,9.4151,49.0661,2.2997,12.201,0.9121,7.1703,52.0434,0,6.64989996,1002.931946
DES-BFA,23700413,nhdflowline_network.2487364,2/27/2001 21:00,1140916,Deschutes River,5,23.8077,0.00047442,0.0017,1495.7562,1.4438,0.68,0.1176,2.05,0.02,0.02,70.42,0.04,0.01,1.4,1.28,2.2102,716.7908,6.427,67.3235,1.3569,26.8571,5.3324,23.8077,3606.912,0,8.769899368,1376.317993
DES-LAP,23700583,nhdflowline_network.2487423,2/27/2001 21:00,1140916,Deschutes River,2,0.0054,0.00375,0,1605.4007,0.1901,0.21,0.1456,1.91,0,0.02,84.13,0.05,0,1.14,0.51,0.5815,1168,7.5602,58.7672,1.9266,19.4199,0.8633,0.0054,106.623,0,8.969900131,1372.521973
DES-MAD,23719673,nhdflowline_network.2490778,2/27/2001 21:00,1140916,Deschutes River,6,9.558,0.00290472,0.0036,1313.8973,5.782,0.79,0.2553,0.67,0.05,0.01,31.62,0.01,1.37,0.56,0.88,1.5699,496.796,19.4846,44.8489,1.2638,11.4366,10.7051,9.558,18388.1277,1.00E-04,8.949899673,1377.291992
DES-MOO,23718705,nhdflowline_network.2490298,2/27/2001 21:00,1140916,Deschutes River,6,5.2659,0.0026644,0.0037,1194.0077,7.9371,0.66,0.2697,0.57,0.04,0.03,29.2,0.03,2.58,0.46,0.66,1.3862,455.6211,21.1675,39.7166,1.3586,9.4013,8.1165,5.2659,25189.3503,1.00E-04,10.33990002,1323.099976
DES-WIC,23700493,nhdflowline_network.2487408,2/27/2001 21:00,1140916,Deschutes River,4,5.9427,0.00761618,0.0045,1523.0327,0.2186,0.2,0.1289,5.91,0,0.04,82.77,0.04,0,0.75,2.55,1.1817,1167.8381,6.9829,62.5463,1.7141,22.4215,1.4192,5.9427,662.4486,0,10.11989975,1263.838013
