sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL,mon,depth,vf_md,Da
WROL2019_001,EAS-ROC,2019-08-16,Gunnison,4.6413,1.362010423,1,77015865.0,0.088205359,1.900445112360761e-05,6.9,1.304,8,0.4095633557403069,0.02167451060150005,0.0030032908766242147
WROL2019_002,EAS-RUS,2019-08-16,Gunnison,15.0255,3.978222262,1,77015865.0,0.625026404,4.159771082493096e-05,4.9,0.692,8,0.4095633557403069,0.018868757413303683,0.007636599415960119
WROL2019_003,EAS-BRA,2019-08-16,Gunnison,4.9086,1.309562334,1,77015865.0,0.066143703,1.3475064784256204e-05,6.0,0.4,8,0.4095633557403069,0.02036369578818957,0.002713004045597594
WROL2019_004,TAY-TAY,2019-08-16,Gunnison,331.3395,16.13118603,4,77014146.0,3.17184,9.572779581064136e-06,14.2,1.338,8,0.3919827893739352,0.035950190575572645,0.061643779151922616
WROL2019_005,TAY-RES,2019-08-16,Gunnison,662.6592,10867.11463,5,77014098.0,11.29968,1.705202312138728e-05,9.8,2.828,8,0.3979898946705976,0.026500129660657706,30.14941989194865
WROL2019_006,EAS-PUM,2019-08-17,Gunnison,86.7375,11.71592212,2,77015865.0,1.639672922,1.8903852681942644e-05,7.8,0.548,8,0.4095633557403069,0.02306970280350589,0.027497052408500443
WROL2019_007,EAS-ALM,2019-08-17,Gunnison,749.4102,28.02879015,4,77014019.0,8.24112,1.099680788972448e-05,12.5,1.238,8,0.5223981258847056,0.03195406377964115,0.07143607717792504
WROL2019_008,GUN-GUN,2019-08-18,Gunnison,2645.9361,3379.09085,5,77013903.0,25.17648,9.515150422566895e-06,13.4,1.777,8,0.590046278161175,0.034010952695262955,8.115613364154427
WROL2019_009,GUN-R32,2019-08-17,Gunnison,5509.3851,1646.4025,6,77013519.0,30.0192,5.448738734927061e-06,14.8,2.004,8,0.5768888951895169,0.03747684277074765,4.456517258954156
WROL2019_010,GUN-TUN,2019-08-18,Gunnison,10283.8923,5812.244383,6,77013467.0,28.8864,2.808897561091728e-06,12.4,3.356,8,0.6585261288104665,0.03173334093827804,11.670122398654764
WROL2019_011,GUN-GRJ,2019-08-18,Gunnison,20481.6555,3297.556283,6,77013352.0,48.9936,2.392072261932146e-06,21.2,4.427,8,0.9027841718240948,0.058401256888944465,8.888310812987603
WROL2019_012,HJA-WS2,2019-09-04,Willamette,0.6,1.001863151,1,78023871.0,0.000910724,1.5178733333333336e-06,14.5,1.572,9,0.4475931270103711,0.03670558049914413,0.0034233070094804178
WROL2019_013,LOO-BLU,2019-09-04,Willamette,63.5697,3.281202644,3,78023871.0,0.2030544,3.1942010108589472e-06,15.2,0.534,9,0.4475931270103711,0.038530460232021106,0.011769082264537982
WROL2019_014,HJA-WS1,2019-09-04,Willamette,0.96,1.00034366,1,78023871.0,0.000358504,3.7344166666666665e-07,15.6,0.673,9,0.4475931270103711,0.03961369891196261,0.003688926222312586
WROL2019_015,BLU-TID,2019-09-04,Willamette,119.3625,8.740677086,3,78023561.0,0.55159734,4.621194596292806e-06,18.5,0.613,9,0.470912567787518,0.048433303838131964,0.03745740168624505
WROL2019_016,BLU-BLU,2019-09-04,Willamette,227.9673,2968.096387,4,78023549.0,16.62384,7.292203750274711e-05,12.3,0.705,9,0.5635501210338975,0.03151414274094878,6.9157567444347245
WROL2019_017,MCK-WAL,2019-09-04,Willamette,2730.9312,1296.781968,5,78023324.0,40.2144,1.4725526589611633e-05,14.4,0.612,9,0.9345570633688048,0.03645203653436004,2.1075199474818382
WROL2019_018,WIL-JAS,2019-09-06,Willamette,3494.8566,2004.222406,5,78023216.0,63.4368,1.815147436950632e-05,19.6,1.374,9,0.8839339886075219,0.05227058908931027,4.9382404482794096
WROL2019_019,WIL-GOS,2019-09-06,Willamette,1664.3106,1442.971526,5,78023308.0,14.13168,8.491011233119585e-06,22.9,1.756,9,0.626180380068001,0.06570482957939776,6.308765095334661
WROL2019_020,WIL-HAR,2019-09-04,Willamette,8825.7501,1558.662617,6,78023210.0,144.1488,1.6332753405288466e-05,18.5,1.074,9,1.0000716484550378,0.048433303838131964,3.145240486307555
WROL2019_021,WIL-COR,2019-09-06,Willamette,11376.3474,1413.11963,6,78022384.0,149.2464,1.3119008654746247e-05,20.1,1.087,9,1.0520083785011063,0.05411390743268873,3.0287078510917853
WROL2019_022,WIL-POR,2019-09-07,Willamette,28921.6503,1377.864258,7,78020394.0,177.2832,6.129774689931853e-06,23.5,1.559,9,1.1296982855272315,0.0684950351584231,3.4809021578417423
WROL2019_023,WIL-HAR,2020-01-24,Willamette,8825.7501,1546.366273,6,78023210.0,640.032,7.25187086364478e-05,7.7,1.527,1,1.5323655107442915,0.02291034872612445,0.9633197368258108
