Date,Site_ID,Ultrameter_Temperature_Mean
 2021-04-20,T06,4.3
 2021-04-20,T05P,4.97
 2021-04-20,T41,7.9
 2021-04-21,T03,8
 2021-04-21,T02,12.33
 2021-04-21,T07,13.57
 2021-04-28,T06,4.53
 2021-04-28,T05P,5.13
 2021-04-28,T42,8.47
 2021-04-28,T03,11.63
 2021-04-28,T02,13.33
 2021-04-28,T07,15.13
 2021-05-06,T06,6.9
 2021-05-06,T05P,6.3
 2021-05-06,T42,10.87
 2021-05-06,T03,13.57
 2021-05-06,T02,14.4
 2021-05-06,T07,16.63
 2021-05-13,T06,5.17
 2021-05-13,T05P,5.93
 2021-05-13,T42,9.43
 2021-05-13,T03,13.77
 2021-05-13,T02,18.73
 2021-05-13,T07,19.17
 2021-05-20,T06,4.77
 2021-05-20,T05P,5.1
 2021-05-20,T42,7.5
 2021-05-20,T03,9.9
 2021-05-20,T02,13.47
 2021-05-20,T07,14.6
 2021-05-27,T06,5.63
 2021-05-27,T05P,5.97
 2021-05-27,T42,9.13
 2021-05-27,T03,13.77
 2021-05-27,T02,16.23
 2021-05-27,T07,17.4
 2021-06-03,T06,6.27
 2021-06-03,T05P,8.4
 2021-06-03,T42,12.43
 2021-06-03,T03,16.53
 2021-06-03,T02,21.67
 2021-06-03,T07,23.47
 2021-06-10,T06,6.5
 2021-06-10,T05P,9.73
 2021-06-10,T42,13.37
 2021-06-10,T03,15.77
 2021-06-10,T07,19.5
 2021-06-17,T02,17.83
 2021-06-17,T06,7.7
 2021-06-17,T05P,11.2
 2021-06-17,T42,14.3
 2021-06-17,T03,17.43
 2021-06-17,T07,21
 2021-06-24,T06,11.83
 2021-06-24,T05P,16.2
 2021-06-24,T42,16.37
 2021-06-24,T03,17.13
 2021-06-24,T02,23.47
 2021-06-24,T07,22.47
 2021-07-08,T06,15.17
 2021-07-08,T05P,16.53
 2021-07-08,T42,18.13
 2021-07-08,T03,17.4
 2021-07-08,T02,24.9
 2021-07-08,T07,24.97
 2021-07-15,T06,16.63
 2021-07-15,T05P,20.67
 2021-07-15,T42,19.87
 2021-07-15,T03,18.27
 2021-07-15,T02,25.2
 2021-07-15,T07,25
 2021-07-22,T06,14.8
 2021-07-22,T05P,18
 2021-07-22,T42,17.37
 2021-07-22,T03,16.3
 2021-07-22,T02,22.7
 2021-07-22,T07,22.97
 2021-07-29,T06,16.1
 2021-07-29,T05P,19.1
 2021-07-29,T42,18.5
 2021-07-29,T03,18.43
 2021-07-29,T02,22.67
 2021-07-29,T07,23.73
 2021-08-12,T06,14.87
 2021-08-12,T05P,17.77
 2021-08-12,T42,16.6
 2021-08-12,T03,21.1
 2021-08-12,T02,23
 2021-08-12,T07,24.53
 2021-08-18,T07,21.83
 2021-08-18,T02,21.23
 2021-08-18,T03,18.3
 2021-08-18,T42,16.37
 2021-08-18,T05P,17.33
 2021-08-18,T06,14.37
 2021-09-07,T07,19.9
 2021-09-07,T02,20.6
 2021-09-08,T03,16.8
 2021-09-08,T42,19.07
 2021-09-16,T07,17.9
 2021-09-16,T02,17.7
 2021-09-16,T03,15
 2021-09-16,T42,16.6
 2021-09-16,T06,9.43
 2021-09-23,T06,8.97
 2021-09-23,T05P,11.23
