name,Connecticut,Deschutes,Gunnison,Willamette,Yakima,min,max
WsAreaSqKm_n,45,43,29,52,193,29,193
WsAreaSqKm_mean,2547.147,9978.807,3145.689,8866.893,7098.532,2547.147,9978.807
WsAreaSqKm_sd,7110.898,11329.968,5602.474,11605.035,5856.204,5602.474,11605.035
WsAreaSqKm_min,0.41,51.88,4.641,0.6,206.203,0.41,206.203
WsAreaSqKm_max,25008.648,25189.35,20481.656,28921.65,14144.725,14144.725,28921.65
WsAreaSqKm_cv,2.79171088280339,1.13540305970443,1.78100060114016,1.30880512486166,0.824988039780619,0.824988039780619,2.79171088280339
tt_hr_n,45,43,29,52,193,29,193
tt_hr_mean,3580.241,1725.559,2279.414,1137.097,101.821,101.821,3580.241
tt_hr_sd,8071.568,1492.236,3462.139,875.167,68.055,68.055,8071.568
tt_hr_min,1.013,6.458,1.21,1,16.392,1,16.392
tt_hr_max,28316.528,3736.917,10869.741,2970.178,226.591,226.591,28316.528
tt_hr_cv,2.25447616515201,0.864784107642799,1.5188723943961,0.769650258509169,0.668378821657615,0.668378821657615,2.25447616515201
lulc_evenness_n,45,43,29,52,193,29,193
lulc_evenness_mean,0.511,0.2,0.36,0.198,0.255,0.198,0.511
lulc_evenness_sd,0.143,0.074,0.07,0.153,0.097,0.07,0.153
lulc_evenness_min,0.09,0.057,0.259,0.017,0.115,0.017,0.259
lulc_evenness_max,0.643,0.265,0.457,0.436,0.364,0.265,0.643
lulc_evenness_cv,0.279843444227006,0.37,0.194444444444444,0.772727272727273,0.380392156862745,0.194444444444444,0.772727272727273
PctDecid2019Ws_n,45,43,29,52,193,29,193
PctDecid2019Ws_mean,44.953,0.019,7.434,0.953,0.064,0.019,44.953
PctDecid2019Ws_sd,18.437,0.012,6.195,1.752,0.009,0.009,18.437
PctDecid2019Ws_min,29.09,0,0.63,0.01,0.05,0,29.09
PctDecid2019Ws_max,95,0.04,18.3,5,0.08,0.04,95
PctDecid2019Ws_cv,0.410139479011412,0.631578947368421,0.833333333333333,1.83840503672613,0.140625,0.140625,1.83840503672613
PctConif2019Ws_n,45,43,29,52,193,29,193
PctConif2019Ws_mean,8.332,54.457,38.031,79.552,51.764,8.332,79.552
PctConif2019Ws_sd,5.357,29.092,12.602,16.199,18.912,5.357,29.092
PctConif2019Ws_min,2.59,12.47,18.78,55.24,30.94,2.59,55.24
PctConif2019Ws_max,17.34,94.5,55.6,98.31,78.14,17.34,98.31
PctConif2019Ws_cv,0.642942870859337,0.5342196595479,0.33136125792117,0.203627815768302,0.365350436596863,0.203627815768302,0.642942870859337
DOC_mgL_n,42,42,29,49,193,29,193
DOC_mgL_mean,2.885,1.006,1.506,1.251,1.384,1.006,2.885
DOC_mgL_sd,1.262,0.921,1.108,0.444,0.494,0.444,1.262
DOC_mgL_min,0.789,0.068,0.357,0.529,0.37,0.068,0.789
DOC_mgL_max,6.098,3.928,4.427,2.273,3.36,2.273,6.098
DOC_mgL_cv,0.437435008665511,0.915506958250497,0.735723771580345,0.354916067146283,0.356936416184971,0.354916067146283,0.915506958250497
number.of.peaks_n,45,43,29,52,193,29,193
number.of.peaks_mean,5528.422,4119.953,5001.241,4892.058,7189.031,4119.953,7189.031
number.of.peaks_sd,942.47,1054.266,1242.997,863.989,439.37,439.37,1242.997
number.of.peaks_min,3413,1984,1819,3157,5849,1819,5849
number.of.peaks_max,7896,5953,8146,6524,8910,5953,8910
number.of.peaks_cv,0.170477217549601,0.255892724989824,0.248537712939648,0.176610538959268,0.061116720737468,0.061116720737468,0.255892724989824
AI_Mod.mean_n,45,43,29,52,193,29,193
AI_Mod.mean_mean,0.23,0.183,0.218,0.214,0.237,0.183,0.237
AI_Mod.mean_sd,0.027,0.036,0.031,0.023,0.016,0.016,0.036
AI_Mod.mean_min,0.155,0.105,0.156,0.16,0.185,0.105,0.185
AI_Mod.mean_max,0.289,0.254,0.274,0.254,0.267,0.254,0.289
AI_Mod.mean_cv,0.117391304347826,0.19672131147541,0.142201834862385,0.107476635514019,0.0675105485232068,0.0675105485232068,0.19672131147541
normalized.transformations_n,45,43,29,52,193,29,193
normalized.transformations_mean,10.981,9.89,10.488,11.101,10.531,9.89,11.101
normalized.transformations_sd,1.451,1.672,1.73,1.124,0.648,0.648,1.73
normalized.transformations_min,5.847,6.293,4.755,7.703,7.701,4.755,7.703
normalized.transformations_max,12.563,12.528,12.441,12.626,11.989,11.989,12.626
normalized.transformations_cv,0.132137328112194,0.169059656218402,0.164950419527079,0.101252139446897,0.0615326179849967,0.0615326179849967,0.169059656218402
