dep_names,expl_names,nobs,p.value,adj.r.squared,RMSE,statistic,df,p,r.sq.adj
DOC_mgL,WsAreaSqKm,355,0.2547389044506925,8.50565955715421e-4,0.8978372583012422,1.3013566720489897,1,n.s,0.0009
DOC_mgL,tt_hr,355,1.433638892298507e-6,0.06113677636013515,0.8703292191931375,24.051727116951778,1,< 0.05,0.0611
DOC_mgL,lulc_evenness,355,2.951923124910062e-36,0.35958606102699153,0.7188078119981102,199.76748124453297,1,< 0.05,0.3596
DOC_mgL,PctDecid2019Ws,355,9.030117960647635e-20,0.20712387203936422,0.7998067618352587,93.4757955451714,1,< 0.05,0.2071
DOC_mgL,PctConif2019Ws,355,6.481453646345304e-24,0.24847669820330898,0.778670328042138,118.0432785699136,1,< 0.05,0.2485
number.of.peaks,WsAreaSqKm,362,0.898871647656814,-0.0027327275533111095,1417.2739957683834,0.016173881995065174,1,n.s,-0.0027
number.of.peaks,tt_hr,362,5.16263514320839e-4,0.030293020048892894,1393.7391023485955,12.277406952563858,1,< 0.05,0.0303
number.of.peaks,lulc_evenness,362,0.6037221483978761,-0.0020265529109138036,1416.7748501822005,0.2698939976045268,1,n.s,-0.002
number.of.peaks,PctDecid2019Ws,362,5.1308515557493646e-5,0.04193754454902343,1385.3456153782731,16.802157256095622,1,< 0.05,0.0419
number.of.peaks,PctConif2019Ws,362,0.32002761783323247,-2.335041731393872e-5,1415.3579681817844,0.9915706961773871,1,n.s,0
AI_Mod.mean,WsAreaSqKm,362,0.8192354174453376,-0.0026321130173720952,0.028745642663985188,0.05230164989253483,1,n.s,-0.0026
AI_Mod.mean,tt_hr,362,0.5309116214202929,-0.0016831416345015615,0.02873203585363007,0.3934068521273281,1,n.s,-0.0017
AI_Mod.mean,lulc_evenness,362,8.0543448379586e-5,0.039659910013856936,0.0281328510574622,15.908497171256199,1,< 0.05,0.0397
AI_Mod.mean,PctDecid2019Ws,362,0.7700678600875097,-0.0025395073211791352,0.028744315122363882,0.08556008391597544,1,n.s,-0.0025
AI_Mod.mean,PctConif2019Ws,362,0.0011819194285136096,0.026136717900026363,0.028330237365059643,10.688582920555103,1,< 0.05,0.0261
total.transformations,WsAreaSqKm,362,0.09259716104755888,0.00508134573800223,16115.929480316549,2.8437344636778175,1,n.s,0.0051
total.transformations,tt_hr,362,0.09898503524456768,0.004785700105277901,16118.323771670488,2.735945452339301,1,n.s,0.0048
total.transformations,lulc_evenness,362,0.005555897092828318,0.018441816715871084,16007.355700421114,7.782578911577725,1,< 0.05,0.0184
total.transformations,PctDecid2019Ws,362,0.0012933470388389503,0.025685848366209352,15948.178092574064,10.51704462534258,1,< 0.05,0.0257
total.transformations,PctConif2019Ws,362,0.017833164202601046,0.012755837955398253,16053.652524571009,5.664355261784499,1,< 0.05,0.0128
normalized.transformations,WsAreaSqKm,362,9.295729303139442e-5,0.03893604911855808,1.128923642688466,15.625367769655744,1,< 0.05,0.0389
normalized.transformations,tt_hr,362,5.342234165695166e-5,0.041733610875419824,1.1272793528971197,16.72196802163737,1,< 0.05,0.0417
normalized.transformations,lulc_evenness,362,7.401637149005284e-10,0.09758582838583785,1.093934648806698,40.038043899813474,1,< 0.05,0.0976
normalized.transformations,PctDecid2019Ws,362,0.2121686883801728,0.0015546659232104076,1.150669417706612,1.5621082888808198,1,n.s,0.0016
normalized.transformations,PctConif2019Ws,362,2.474510109117593e-4,0.03399583560952202,1.1318214597809693,13.704393114889962,1,< 0.05,0.034
