samples,r.squared,distinct,points,removed,final,remaining
RC2_0003_ICR-3_p08,0.934588350674488,676,689,61,628,0.911465892597968
RC2_0004_ICR-1_p08,0.936575190823776,697,718,76,642,0.894150417827298
RC2_0004_ICR-2_p08,0.928495302805113,677,698,64,634,0.908309455587393
RC2_0004_ICR-3_p08,0.929165931706104,685,711,80,631,0.887482419127989
RC2_0005_ICR-1_p08,0.92806449659228,688,719,87,632,0.878998609179416
RC2_0005_ICR-2_p08,0.934171172033051,689,720,77,643,0.893055555555556
RC2_0005_ICR-3_p08,0.918167774437786,646,665,77,588,0.884210526315789
RC2_0006_ICR-1_p08,0.926606662617981,699,733,92,641,0.874488403819918
RC2_0006_ICR-2_p08,0.927246367976814,683,716,85,631,0.881284916201117
RC2_0006_ICR-3_p08,0.923240616072748,667,699,84,615,0.879828326180258
RC2_0007_ICR-1_p08,0.92365822239997,630,646,76,570,0.882352941176471
RC2_0007_ICR-2_p08,0.923078516942409,626,639,59,580,0.907668231611894
RC2_0007_ICR-3_p08,0.928873085941594,612,629,68,561,0.891891891891892
RC2_0008_ICR-1_p08,0.922912100131711,611,634,69,565,0.891167192429022
RC2_0008_ICR-2_p08,0.930188090325453,651,669,58,611,0.913303437967115
RC2_0008_ICR-3_p08,0.933777867044407,680,706,70,636,0.900849858356941
RC2_0009_ICR-1_p08,0.933719444402094,699,723,68,655,0.905947441217151
RC2_0009_ICR-2_p08,0.932649315122843,676,701,65,636,0.907275320970043
RC2_0009_ICR-3_p08,0.933678230160517,699,733,77,656,0.894952251023192
RC2_0010_ICR-1_p08,0.933856401635488,676,700,67,633,0.904285714285714
RC2_0010_ICR-2_p08,0.924217567368291,651,670,65,605,0.902985074626866
RC2_0010_ICR-3_p08,0.924664897412845,649,664,73,591,0.890060240963855
RC2_0011_ICR-1_p08,0.9213902526266,632,661,76,585,0.885022692889561
RC2_0011_ICR-2_p08,0.909586828809277,606,632,81,551,0.871835443037975
RC2_0011_ICR-3_p08,0.919756572539252,635,655,74,581,0.887022900763359
RC2_0012_ICR-1_p08,0.925590234020393,644,669,68,601,0.898355754857997
RC2_0012_ICR-2_p08,0.91672439216581,600,623,80,543,0.871589085072231
RC2_0012_ICR-3_p08,0.923473513598903,629,642,66,576,0.897196261682243
RC2_0013_ICR-1_p08,0.926078269211309,637,649,61,588,0.906009244992296
RC2_0013_ICR-2_p08,0.921174314073007,621,635,73,562,0.88503937007874
RC2_0013_ICR-3_p08,0.923906694380235,599,624,87,537,0.860576923076923
RC2_0014_ICR-1_p08,0.921451656223419,630,639,71,568,0.888888888888889
RC2_0014_ICR-2_p08,0.915337194417753,605,618,65,553,0.894822006472492
RC2_0014_ICR-3_p08,0.925036069569927,639,661,80,581,0.878971255673222
RC2_0015_ICR-1_p08,0.935416487034331,713,743,81,662,0.890982503364737
