num.trans.involved.in,sample,peak
2,RC2_0103,200.805551688785
1,RC2_0103,200.80570084945
8,RC2_0103,201.040549746854
1,RC2_0103,201.07699209042
11,RC2_0103,201.113305507132
1,RC2_0103,201.802107418046
4,RC2_0103,203.05621751821
7,RC2_0103,203.092598573455
43,RC2_0103,205.050649645622
31,RC2_0103,205.07181420903
1,RC2_0103,207.012129097052
1,RC2_0103,207.02958207263
70,RC2_0103,207.02992691764
71,RC2_0103,207.066308041173
1,RC2_0103,208.867065712878
1,RC2_0103,208.943528627492
28,RC2_0103,209.009228623359
77,RC2_0103,209.045580314629
33,RC2_0103,209.08199123926
2,RC2_0103,209.085341034261
2,RC2_0103,209.965115526629
23,RC2_0103,210.040862745382
1,RC2_0103,210.784249600665
13,RC2_0103,211.024894692063
45,RC2_0103,211.06125733712
40,RC2_0103,211.097630381567
38,RC2_0103,211.13398303035
2,RC2_0103,212.020171836867
23,RC2_0103,212.056516473567
2,RC2_0103,212.88694808826
4,RC2_0103,213.015395385438
7,RC2_0103,213.040557537648
54,RC2_0103,213.076900756185
47,RC2_0103,213.113283801581
3,RC2_0103,215.002046803011
1,RC2_0103,215.005540455793
23,RC2_0103,215.034935639638
27,RC2_0103,215.056178158602
54,RC2_0103,215.092533836653
33,RC2_0103,215.128934496082
9,RC2_0103,217.048499379031
48,RC2_0103,217.050666603118
54,RC2_0103,217.071799283711
37,RC2_0103,217.087016931074
35,RC2_0103,217.108201785189
1,RC2_0103,218.986234757016
63,RC2_0103,219.029928016014
1,RC2_0103,219.045558415825
21,RC2_0103,219.066350484888
37,RC2_0103,219.10265769779
29,RC2_0103,221.009230354257
80,RC2_0103,221.045580738646
24,RC2_0103,221.058659744784
36,RC2_0103,221.081986894533
41,RC2_0103,221.118327649342
34,RC2_0103,222.077236877626
6,RC2_0103,222.090325421873
81,RC2_0103,223.024839679869
55,RC2_0103,223.061246213401
19,RC2_0103,223.074311793983
70,RC2_0103,223.097607894594
43,RC2_0103,223.13396622894
42,RC2_0103,224.056481859079
4,RC2_0103,224.08732975305
21,RC2_0103,225.004148052062
86,RC2_0103,225.040486343924
77,RC2_0103,225.076878261981
44,RC2_0103,225.113278625311
33,RC2_0103,225.149603509312
30,RC2_0103,226.035759020336
43,RC2_0103,226.072120524392
73,RC2_0103,227.019752593691
72,RC2_0103,227.056148286431
56,RC2_0103,227.092541865221
54,RC2_0103,227.128907624443
39,RC2_0103,228.087791790328
2,RC2_0103,228.950608885245
7,RC2_0103,229.017614103472
58,RC2_0103,229.035413614048
1,RC2_0103,229.071269034847
58,RC2_0103,229.071807183862
1,RC2_0103,229.09722623681
50,RC2_0103,229.108190337404
42,RC2_0103,229.144552644549
10,RC2_0103,229.144689264904
1,RC2_0103,229.314750811202
1,RC2_0103,229.942636931176
2,RC2_0103,230.929864336584
56,RC2_0103,231.029915857015
48,RC2_0103,231.051063493403
46,RC2_0103,231.066285447589
36,RC2_0103,231.079387004707
1,RC2_0103,231.086898937878
55,RC2_0103,231.08744241947
44,RC2_0103,231.123844890446
1,RC2_0103,232.043802656293
5,RC2_0103,232.927824924249
65,RC2_0103,233.009183311334
33,RC2_0103,233.030320287373
75,RC2_0103,233.045570505002
23,RC2_0103,233.058684421359
49,RC2_0103,233.081940254861
53,RC2_0103,233.103085844661
2,RC2_0103,233.114347144828
26,RC2_0103,233.154700675034
26,RC2_0103,234.04084414727
1,RC2_0103,234.868826445119
57,RC2_0103,235.024842750646
27,RC2_0103,235.037934881852
72,RC2_0103,235.061224997157
29,RC2_0103,235.074322891885
50,RC2_0103,235.097617196938
1,RC2_0103,236.019529303019
54,RC2_0103,236.056477614908
35,RC2_0103,236.092851504478
1,RC2_0103,236.965940328667
85,RC2_0103,237.040490355855
19,RC2_0103,237.053580992428
76,RC2_0103,237.076877223671
26,RC2_0103,237.089974313811
61,RC2_0103,237.113263602476
1,RC2_0103,237.765090755811
36,RC2_0103,238.035768512327
41,RC2_0103,238.07214883977
1,RC2_0103,238.962987013897
72,RC2_0103,239.019730421311
63,RC2_0103,239.056116538289
18,RC2_0103,239.067397967422
74,RC2_0103,239.092509650864
46,RC2_0103,239.128901435965
24,RC2_0103,239.165307630086
1,RC2_0103,239.763043818052
29,RC2_0103,240.051419688166
34,RC2_0103,240.087805813667
44,RC2_0103,241.035424325094
1,RC2_0103,241.053629831591
67,RC2_0103,241.071807278683
65,RC2_0103,241.10818343559
2,RC2_0103,241.129032367986
2,RC2_0103,241.135875818318
21,RC2_0103,241.136476188052
53,RC2_0103,241.144555775004
35,RC2_0103,242.067058474382
25,RC2_0103,242.103460123436
4,RC2_0103,242.13986388878
13,RC2_0103,242.176183482542
3,RC2_0103,243.002636756829
49,RC2_0103,243.051074163678
1,RC2_0103,243.086838227442
72,RC2_0103,243.087456103451
64,RC2_0103,243.123824166654
13,RC2_0103,243.133538665808
31,RC2_0103,243.160188628261
1,RC2_0103,243.754531553589
3,RC2_0103,244.136880343945
2,RC2_0103,245.000595935377
50,RC2_0103,245.009188417622
61,RC2_0103,245.045553877071
3,RC2_0103,245.048948124164
35,RC2_0103,245.058667923197
2,RC2_0103,245.066045481143
75,RC2_0103,245.066693555445
49,RC2_0103,245.081961707538
69,RC2_0103,245.103083969213
43,RC2_0103,245.139487182497
1,RC2_0103,245.752471477395
19,RC2_0103,246.134753940015
43,RC2_0103,247.024850905691
48,RC2_0103,247.037895313515
71,RC2_0103,247.061205165109
34,RC2_0103,247.074319351448
62,RC2_0103,247.082344096439
54,RC2_0103,247.097610936464
1,RC2_0103,247.110047454692
22,RC2_0103,247.110691524304
42,RC2_0103,247.118746256228
14,RC2_0103,247.170379068194
32,RC2_0103,248.056499019933
7,RC2_0103,248.077666201491
