num.trans.involved.in,sample,peak
1,WROL2019_145,200.0928014
1,WROL2019_145,200.6012403
5,WROL2019_145,201.0405497
50,WROL2019_145,201.0768413
6,WROL2019_145,201.1133055
7,WROL2019_145,202.1085588
5,WROL2019_145,203.0562175
4,WROL2019_145,203.0925986
1,WROL2019_145,204.9936274
32,WROL2019_145,205.0142391
41,WROL2019_145,205.0506496
10,WROL2019_145,205.0540024
26,WROL2019_145,205.0718142
57,WROL2019_145,207.0299269
58,WROL2019_145,207.066308
29,WROL2019_145,207.0874095
33,WROL2019_145,207.1026605
63,WROL2019_145,209.0455803
27,WROL2019_145,209.0819912
26,WROL2019_145,209.154707
16,WROL2019_145,210.0408627
22,WROL2019_145,210.077244
7,WROL2019_145,211.0248947
1,WROL2019_145,211.0608213
36,WROL2019_145,211.0612573
39,WROL2019_145,211.0976304
41,WROL2019_145,211.133983
20,WROL2019_145,212.0565165
5,WROL2019_145,213.0405575
47,WROL2019_145,213.0769008
42,WROL2019_145,213.1132838
16,WROL2019_145,214.072166
1,WROL2019_145,214.2320367
18,WROL2019_145,215.0561782
48,WROL2019_145,215.0925338
31,WROL2019_145,215.1289345
1,WROL2019_145,215.2346166
1,WROL2019_145,216.9328866
36,WROL2019_145,217.0506666
5,WROL2019_145,217.0540218
48,WROL2019_145,217.0717993
35,WROL2019_145,217.0870169
33,WROL2019_145,217.1082018
1,WROL2019_145,218.775586
50,WROL2019_145,219.029928
19,WROL2019_145,219.0663505
5,WROL2019_145,220.1469186
23,WROL2019_145,221.0092304
65,WROL2019_145,221.0455807
29,WROL2019_145,221.0819869
35,WROL2019_145,221.1547026
1,WROL2019_145,222.8644217
2,WROL2019_145,222.9779472
65,WROL2019_145,223.0248397
1,WROL2019_145,223.060735
42,WROL2019_145,223.0612462
15,WROL2019_145,223.0645703
60,WROL2019_145,223.0976079
45,WROL2019_145,223.1339662
70,WROL2019_145,225.0404863
65,WROL2019_145,225.0768783
42,WROL2019_145,225.1132786
37,WROL2019_145,225.1496035
25,WROL2019_145,226.0721205
1,WROL2019_145,226.9945489
62,WROL2019_145,227.0561483
1,WROL2019_145,227.0920118
49,WROL2019_145,227.0925419
49,WROL2019_145,227.1289076
51,WROL2019_145,229.0354136
52,WROL2019_145,229.0718072
50,WROL2019_145,229.1081903
43,WROL2019_145,229.1445526
1,WROL2019_145,230.1180914
48,WROL2019_145,231.0299159
43,WROL2019_145,231.0510635
56,WROL2019_145,231.0874424
36,WROL2019_145,231.1238449
1,WROL2019_145,231.1677918
53,WROL2019_145,233.0091833
62,WROL2019_145,233.0455705
66,WROL2019_145,233.0666983
45,WROL2019_145,233.0819403
1,WROL2019_145,233.1541587
29,WROL2019_145,233.1547007
49,WROL2019_145,235.0248428
62,WROL2019_145,235.061225
15,WROL2019_145,235.0743229
44,WROL2019_145,235.0976172
17,WROL2019_145,235.1373544
13,WROL2019_145,236.0396517
9,WROL2019_145,236.1054076
1,WROL2019_145,236.9659403
67,WROL2019_145,237.0404904
72,WROL2019_145,237.0768772
11,WROL2019_145,237.0802154
54,WROL2019_145,237.1132636
21,WROL2019_145,238.0721488
70,WROL2019_145,239.0197304
60,WROL2019_145,239.0561165
67,WROL2019_145,239.0925097
43,WROL2019_145,239.1289014
19,WROL2019_145,240.0514197
37,WROL2019_145,241.0354243
33,WROL2019_145,241.0506428
56,WROL2019_145,241.0718073
63,WROL2019_145,241.1081834
18,WROL2019_145,241.1364762
49,WROL2019_145,241.1445558
5,WROL2019_145,241.1988533
4,WROL2019_145,242.1398639
11,WROL2019_145,242.1761835
38,WROL2019_145,243.0510742
68,WROL2019_145,243.0874561
59,WROL2019_145,243.1238242
8,WROL2019_145,243.1335387
37,WROL2019_145,243.1601886
1,WROL2019_145,244.2041041
1,WROL2019_145,244.9598891
57,WROL2019_145,245.0455539
5,WROL2019_145,245.0489481
73,WROL2019_145,245.0666936
71,WROL2019_145,245.103084
49,WROL2019_145,245.1394872
36,WROL2019_145,247.0248509
56,WROL2019_145,247.0459379
67,WROL2019_145,247.0612052
14,WROL2019_145,247.0743194
64,WROL2019_145,247.0823441
45,WROL2019_145,247.0976109
11,WROL2019_145,247.1106915
44,WROL2019_145,247.1187463
11,WROL2019_145,247.1703791
23,WROL2019_145,249.0041346
48,WROL2019_145,249.0252201
72,WROL2019_145,249.0404817
15,WROL2019_145,249.0535931
63,WROL2019_145,249.061604
47,WROL2019_145,249.0768876
26,WROL2019_145,249.1077186
32,WROL2019_145,249.1132794
39,WROL2019_145,249.1496328
11,WROL2019_145,249.153002
1,WROL2019_145,250.9815745
34,WROL2019_145,251.0197679
48,WROL2019_145,251.0561601
5,WROL2019_145,251.0595492
40,WROL2019_145,251.0692008
3,WROL2019_145,251.0920306
79,WROL2019_145,251.092512
5,WROL2019_145,251.0959062
42,WROL2019_145,251.1136506
40,WROL2019_145,251.1289264
74,WROL2019_145,253.0353938
2,WROL2019_145,253.0662946
42,WROL2019_145,253.0718158
13,WROL2019_145,253.0751394
1,WROL2019_145,253.1076881
72,WROL2019_145,253.1081745
45,WROL2019_145,253.1445529
41,WROL2019_145,254.0670389
4,WROL2019_145,255.0333253
89,WROL2019_145,255.0510446
