sample,dataset,sample_n,Site,Date,Watershed,site_description,season_tb,wrol_mo_end_member,Month,season,season_n,streamorde,ElevWs,TmeanSite,PrecipSite,RunoffWs,areasqkm,CatAreaSqKm,WsAreaSqKm,slope,PctOw2019Ws,PctMxFst2019Ws,PctDecid2019Ws,PctConif2019Ws,PctCrop2019Ws,PctWdWet2019Ws,PctHbWet2019Ws,PctUrbHi2019Ws,PctImp2019Ws,PopDen2010Ws,RdDensWs,KffactWs,WWTPAllDensWs,OmWs,DamDensWs,HydrlCondWs,ClayWs,SandWs,PermWs,lulc_H,lulc_evenness,latitude_dec_deg,longitude_dec_deg,COMID,total.transformations,number.of.peaks,normalized.transformations,AI.mean,AI.Mod.mean,DBE.mean,DBE.O.mean,KenMass.mean,KenDef.mean,NOSC.mean,HtoC.mean,OtoC.mean,NtoC.mean,PtoC.mean,NtoP.mean,mass.mean,peaks.with.formula,Lignin,Other,Tannin,Protein,Lignin_Amino_Sugar,Lipid_Protein,Lipid,Cond_Hydrocarbon,Unsat_Hydrocarbon,Amino_Sugar,Carbohydrate,Tannin_Cond_Hydrocarbon,Unsat_Hydrocarbon_Cond_Hydrocarbon,Protein_Amino_Sugar,Carbohydrate_Amino_Sugar,Protein_Lignin,Protein_Lignin_Amino_Sugar,Lignin_Tannin,CHONS,CHONP,CHON,CHO,CHOS,CHOP,CHONSP,CHOSP,Lignin_norm,Other_norm,Tannin_norm,Protein_norm,Lignin_Amino_Sugar_norm,Lipid_Protein_norm,Lipid_norm,Cond_Hydrocarbon_norm,Unsat_Hydrocarbon_norm,Amino_Sugar_norm,Carbohydrate_norm,Tannin_Cond_Hydrocarbon_norm,Unsat_Hydrocarbon_Cond_Hydrocarbon_norm,Protein_Amino_Sugar_norm,Carbohydrate_Amino_Sugar_norm,Protein_Lignin_norm,Protein_Lignin_Amino_Sugar_norm,Lignin_Tannin_norm,CHONS_norm,CHONP_norm,CHON_norm,CHO_norm,CHOS_norm,CHOP_norm,CHONSP_norm,CHOSP_norm,tt_hr,q_daily_cms,q_daily_mm,Twat_degC,depth_m,vf_m_day,Da,DOC_mgL,TN_mgL
WROL2019_001,WROL,1,EAS-ROC,2019-08-16,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,1,3357.6118,10.43489933,215.8649902,315.9447,4.6413,4.6413,4.6413,0.1523744,0,0.41,2.02,54.74,0,3.28,0.68,0,0.02,1.3785,0.0959,0.3097,0,0.9877,0,0.2121,16.2159,38.9884,8.4942,0.5789378557487526,0.263485973040872,38.981617,-107.005668,77015865,49763,5740,8.669512195,0.087925675,0.21468307,8.829918608,-1.15324165,471.6647088,0.419611755,-0.412479986,1.353280597,0.478103565,0.017812265,0.017734385,0.380726698,476.8035931,3563,1114,560,260,804,49,10,199,242,68,112,87,19,5,17,7,1,1,8,133,236,279,1736,149,813,78,139,31.26578725792871,15.717092337917485,7.297221442604547,22.565253999438674,1.37524557956778,0.280662363177098,5.585181027224249,6.7920291888857705,1.908504069604266,3.143418467583497,2.441762559640752,0.5332584900364862,0.140331181588549,0.4771260174010665,0.19646365422396855,0.028066236317709797,0.028066236317709797,0.22452989054167838,3.732809430255403,6.623631770979512,7.830479932641032,48.722986247544206,4.18186921133876,22.817850126298065,2.189166432781364,3.901206848161662,1.362010423,0.088205359,1.900445112360761e-5,6.9,0.4095633557403069,0.02167451060150005,0.00300329087662421,1.304,NA
WROL2019_002,WROL,2,EAS-RUS,2019-08-16,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,1,3482.692,8.125,361.6819763,314.9564,1.4229,1.4229,15.0255,0.10428272,0.02,0.01,1.5,18.78,0,7.17,3.83,0,0.09,1.4068,0.2708,0.3295,0,1.1393,0,0.1261,15.9411,43.6772,13.844,0.699899150472282,0.31853783072133524,38.9905473,-107.0065371,77015865,8650,1819,4.755360088,0.061973621,0.161790876,6.583419689,-1.564766839,409.3524433,0.386424236,-0.644277676,1.49362387,0.437293807,0.019278242,0.020344035,0.37431694,416.6352643,965,298,141,20,296,12,1,100,22,13,42,11,0,0,5,0,1,1,2,28,64,54,450,67,262,21,19,30.88082901554404,14.61139896373057,2.072538860103627,30.67357512953368,1.2435233160621761,0.10362694300518134,10.362694300518134,2.2797927461139897,1.3471502590673576,4.352331606217617,1.1398963730569949,0,0,0.5181347150259068,0,0.10362694300518134,0.10362694300518134,0.20725388601036268,2.901554404145078,6.632124352331606,5.595854922279793,46.63212435233161,6.94300518134715,27.150259067357513,2.1761658031088085,1.9689119170984457,3.978222262,0.625026404,4.1597710824930955e-5,4.9,0.4095633557403069,0.01886875741330368,0.00763659941596011,0.692,NA
WROL2019_003,WROL,3,EAS-BRA,2019-08-16,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,1,3507.1022,10.55499935,1217.664917,316,1.2834,1.2834,4.9086,0.12940246,0,0.11,1.01,32.82,0,3.45,0.15,0.17,0.21,1.381,0.2268,0.332,0,1.0422,0,0.0837,14.4093,48.0104,17.5305,0.5692607947843017,0.25908175279672074,38.9857545,-107.0027911,77015865,27944,3756,7.439829606,0.071187377,0.167281375,7.087036189,-1.606046725,437.0943112,0.392643022,-0.617974439,1.476737389,0.440628698,0.017692558,0.0186178,0.332912989,441.9013418,2183,587,342,68,652,27,6,230,81,33,79,50,4,1,12,4,2,1,4,71,135,145,1052,122,557,38,63,26.889601465872655,15.666513971598716,3.114979386165827,29.867155290884106,1.2368300503893723,0.2748511223087494,10.53595968850206,3.710490151168117,1.5116811726981219,3.618873110398534,2.2904260192395784,0.1832340815391663,0.04580852038479157,0.5497022446174988,0.1832340815391663,0.09161704076958314,0.04580852038479157,0.1832340815391663,3.2524049473202017,6.184150251946862,6.642235455794777,48.19056344480073,5.5886394869445715,25.515345854328903,1.7407237746220796,2.8859367842418693,1.309562334,0.066143703,1.3475064784256204e-5,6,0.4095633557403069,0.02036369578818957,0.00271300404559759,0.4,NA
WROL2019_004,WROL,4,TAY-TAY,2019-08-16,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,4,3328.9854,10.12489986,2106.576904,314.132,5.0157,5.0157,331.3395,0.01421518,0.07,0.05,0.63,54.17,0,5.33,3.13,0,0.22,0.1582,0.4238,0.2434,0,0.5484,0,6.9308,14.0353,56.1889,17.1891,0.6510502056748114,0.29630571785434184,38.8604,-106.567,77014146,73858,5996,12.31787859,0.081984045,0.237894274,9.35978022,-0.978901099,457.2753074,0.389302389,-0.322644288,1.280233249,0.484872834,0.012677668,0.01247254,0.252823632,474.1304003,4550,1790,427,398,921,71,9,153,439,52,152,64,24,4,21,13,2,1,9,40,119,498,2595,266,880,79,73,39.34065934065934,9.384615384615385,8.747252747252746,20.24175824175824,1.5604395604395604,0.1978021978021978,3.3626373626373627,9.648351648351648,1.1428571428571428,3.3406593406593412,1.4065934065934065,0.5274725274725275,0.0879120879120879,0.46153846153846156,0.2857142857142857,0.04395604395604395,0.021978021978021976,0.1978021978021978,0.8791208791208791,2.6153846153846154,10.945054945054945,57.03296703296703,5.846153846153846,19.340659340659343,1.736263736263736,1.6043956043956045,16.13118603,3.17184,9.572779581064136e-6,14.2,0.3919827893739352,0.03595019057557264,0.06164377915192261,1.338,NA
WROL2019_005,WROL,5,TAY-RES,2019-08-16,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,5,3313.7191,10.57489967,2062.281006,312.8911,4.4595,4.4595,662.6592,0.02644614,1.23,0.05,0.79,55.6,0,4.61,2.54,0.01,0.21,0.1595,0.513,0.2413,0,0.6731,0.0015,11.4205,14.1626,55.7678,16.4067,0.6715162327798733,0.3056202081964596,38.8183,-106.6086,77014098,61388,5139,11.94551469,0.078398416,0.237986171,9.223687752,-1.03230148,450.0061266,0.395702537,-0.31611591,1.279290033,0.488031124,0.013138335,0.012893784,0.234607219,466.371571,3715,1527,340,357,703,64,9,116,312,44,128,53,19,5,18,8,2,1,9,58,89,358,2200,157,719,56,78,41.10363391655451,9.152086137281291,9.609690444145356,18.92328398384926,1.7227456258411842,0.24226110363391654,3.1224764468371466,8.398384925975774,1.1843876177658144,3.4454912516823684,1.426648721399731,0.5114401076716016,0.13458950201884254,0.48452220726783307,0.21534320323014802,0.053835800807537006,0.026917900403768503,0.24226110363391654,1.5612382234185733,2.3956931359353972,9.636608344549124,59.219380888290715,4.226110363391655,19.353970390309556,1.5074024226110363,2.0995962314939436,10867.11463,11.29968,1.705202312138728e-5,9.8,0.3979898946705976,0.0265001296606577,30.14941989194865,2.828,NA
WROL2019_006,WROL,6,EAS-PUM,2019-08-17,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,2,3334.9476,10.92999935,187.6060028,315.6672,17.0991,17.0991,86.7375,0.01346106,0.13,1.01,10.28,22.89,0,5.54,1.96,0.02,0.17,3.3736,0.5298,0.3273,0,1.1464,0,0.1756,16.5671,41.0658,11.6398,0.8763219436699788,0.3988313041411442,38.922336,-106.951195,77015865,28032,3532,7.936579841,0.061990961,0.156283228,6.743615423,-1.96444667,434.2050011,0.393243482,-0.634530994,1.489612172,0.446664711,0.016525328,0.020645576,0.3575,439.3408031,1997,537,275,50,697,33,8,155,53,37,88,35,2,1,14,5,1,1,5,59,155,98,978,62,559,49,37,26.89033550325488,13.770655983975963,2.5037556334501754,34.90235353029544,1.6524787180771157,0.40060090135202797,7.7616424636955434,2.6539809714571856,1.8527791687531296,4.406609914872309,1.7526289434151225,0.10015022533800699,0.050075112669003496,0.7010515773660491,0.25037556334501754,0.050075112669003496,0.050075112669003496,0.25037556334501754,2.954431647471207,7.7616424636955434,4.907361041562344,48.97346019028543,3.104656985478217,27.99198798197296,2.453680520781172,1.8527791687531296,11.71592212,1.639672922,1.8903852681942644e-5,7.8,0.4095633557403069,0.02306970280350589,0.02749705240850044,0.548,NA
WROL2019_007,WROL,7,EAS-ALM,2019-08-17,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,4,3130.6144,9.154899597,1315.511963,315.8472,3.1644,3.1644,749.4102,0.00856535,0.11,2.51,16.16,29.29,0,4.03,2.41,0.04,0.53,5.7807,0.8773,0.274,0.008,0.6732,0.0027,6.1895,19.2246,41.1091,10.7381,1.0042875478610058,0.4570709604379824,38.6644,-106.8475,77014019,50058,4502,11.1190582,0.06377196,0.198395785,8.277795276,-1.550866142,445.7225513,0.382290964,-0.438456459,1.362167434,0.475240069,0.013926373,0.015839526,0.269346734,460.6188423,3175,1255,310,193,820,58,11,105,150,30,132,50,12,3,24,10,2,1,9,35,156,318,1707,120,741,40,58,39.52755905511811,9.763779527559056,6.078740157480315,25.826771653543307,1.826771653543307,0.3464566929133858,3.3070866141732282,4.724409448818897,0.9448818897637795,4.15748031496063,1.574803149606299,0.3779527559055118,0.09448818897637795,0.7559055118110236,0.31496062992125984,0.06299212598425197,0.031496062992125984,0.28346456692913385,1.1023622047244095,4.913385826771653,10.015748031496063,53.76377952755905,3.779527559055118,23.338582677165356,1.2598425196850394,1.826771653543307,28.02879015,8.24112,1.0996807889724479e-5,12.5,0.5223981258847056,0.03195406377964115,0.07143607717792504,1.238,NA
WROL2019_008,WROL,8,GUN-GUN,2019-08-18,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,5,3105.8026,7.069900036,492.0820007,313.3414,0.2655,0.2655,2645.9361,0.00847858,0.37,2,11.02,40.63,0,3.25,1.84,0.04,0.39,3.6318,0.7292,0.2613,0.0038,0.6992,0.0019,6.8951,18.3092,45.1552,12.0283,0.9175786512306289,0.41760804093273207,38.529203,-106.956087,77013903,50000,4606,10.85540599,0.069876011,0.196662277,7.998691528,-1.469414459,441.8740801,0.382541651,-0.49271116,1.380503491,0.46254922,0.01226934,0.016989253,0.241779497,454.9573271,3057,1052,313,172,871,44,11,137,163,60,124,54,12,2,23,7,2,1,9,40,153,223,1674,86,768,38,75,34.41282302911351,10.23879620543016,5.626431141642133,28.491985606804054,1.4393195943735688,0.3598298985933922,4.4815178279358845,5.332024860974812,1.9627085377821394,4.056264311416421,1.7664376840039255,0.39254170755642787,0.06542361792607132,0.7523716061498201,0.22898266274124962,0.06542361792607132,0.03271180896303566,0.2944062806673209,1.3084723585214262,5.004906771344456,7.294733398756952,54.75956820412169,2.8132155708210664,25.122669283611383,1.243048740595355,2.4533856722276743,3379.09085,25.17648,9.515150422566895e-6,13.4,0.590046278161175,0.03401095269526295,8.115613364154427,1.777,NA
WROL2019_009,WROL,9,GUN-R32,2019-08-17,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,6,3026.719,6.699899673,679.723999,181.9366,0.1422,0.1422,5509.3851,0.00650197,0.21,1.85,8.87,40.02,0,2.46,1.56,0.03,0.35,2.5793,0.7432,0.2859,0.0027,0.7608,0.0022,4.0641,19.1085,42.4693,10.3934,0.8464105387154467,0.38521803708457647,38.5172,-106.9956,77013519,61084,4910,12.4407332,0.064960878,0.205111738,8.435550649,-1.53325973,450.2462401,0.37697785,-0.422011313,1.346838953,0.475793212,0.012708184,0.014544081,0.22693032,464.4251058,3623,1378,314,260,938,57,12,127,221,56,141,50,19,2,26,10,3,1,8,36,153,355,2066,104,822,32,55,38.03477780844604,8.666850676235164,7.176373171404913,25.890146287606957,1.573281810654154,0.3312172232956114,3.5053822798785537,6.099917195694176,1.5456803753795199,3.8918023737234337,1.3800717637317141,0.5244272702180514,0.05520287054926856,0.7176373171404914,0.2760143527463428,0.08280430582390284,0.02760143527463428,0.22081148219707425,0.9936516698868341,4.223019597019045,9.79850952249517,57.02456527739442,2.8705492685619656,22.688379795749377,0.883245928788297,1.5180789401048853,1646.4025,30.0192,5.448738734927061e-6,14.8,0.5768888951895169,0.03747684277074765,4.456517258954156,2.004,NA
WROL2019_010,WROL,10,GUN-TUN,2019-08-18,Gunnison,Gunnison,Summer,seasonal,8,Summer,3,6,3008.8585,6.719899654,749.8809814,241.8058,0.1593,0.1593,10283.8923,1e-5,0.52,2,11.89,38.32,0,1.85,1.16,0.02,0.29,1.573,0.7036,0.3031,0.002,0.7453,0.0032,2.9267,21.4569,38.9575,8.7931,0.8705080868851008,0.39618530388935097,38.5292,-107.6483,77013467,64298,5268,12.20539104,0.08113828,0.24462114,9.737459446,-0.642375842,458.9518612,0.392292165,-0.295448093,1.258097039,0.482741091,0.014336985,0.011746082,0.361884368,477.0120713,4007,1856,372,323,685,74,5,80,319,44,129,59,17,7,17,9,2,1,8,39,87,469,2343,222,689,98,60,46.31894185175942,9.283753431494885,8.06089343648615,17.095083603693535,1.8467681557274767,0.12478163214374843,1.996506114299975,7.961068130771151,1.0980783628649862,3.21936610930871,1.4724232592962316,0.4242575492887447,0.1746942850012478,0.4242575492887447,0.2246069378587472,0.04991265285749938,0.02495632642874969,0.19965061142999752,0.9732967307212379,2.171200399301223,11.704517095083604,58.472672822560526,5.540304467182431,17.194908909408536,2.4457199900174693,1.4973795857249812,5812.244383,28.8864,2.8088975610917276e-6,12.4,0.6585261288104665,0.03173334093827804,11.670122398654764,3.356,NA
