Watershed,dep_names,expl_names,nobs,p.value,r.squared,adj.r.squared,RMSE,statistic,df,r,p,r.sq.adj,r_labels,r2_labels
Gunnison,DOC_mgL,WsAreaSqKm,29,1.0566498892728967e-9,0.7536877264463195,0.7445650496480352,0.5402934852133152,82.61694929146807,1,0.8681519028639628,< 0.1,0.74,r~'= '*0.87,r^2~'= '*0.74
Gunnison,DOC_mgL,tt_hr,29,9.779582860645973e-4,0.3362227674327284,0.31163842548579246,0.886947431706029,13.67629722033836,1,0.5798471931748299,< 0.1,0.31,r~'= '*0.58,r^2~'= '*0.31
Gunnison,DOC_mgL,Da,29,0.002783915772702261,0.28628299548699704,0.25984903235688583,0.9197074966131629,10.830120102607275,1,0.5350541986443962,< 0.1,0.26,r~'= '*0.54,r^2~'= '*0.26
Gunnison,DOC_mgL,lulc_evenness,29,0.0529166473281781,0.13179091960312797,0.09963502773657718,1.014375768720699,4.098499900113778,1,0.36303019103530215,< 0.1,0.10,r~'= '*0.36,r^2~'= '*0.10
Gunnison,DOC_mgL,PctDecid2019Ws,29,0.018740967067130625,0.1881219690802123,0.15805241237947942,0.9809166342507264,6.256226885966273,1,0.43373029532211865,< 0.1,0.16,r~'= '*0.43,r^2~'= '*0.16
Gunnison,DOC_mgL,PctConif2019Ws,29,0.18068501665815795,0.06536828113056606,0.03075229154280923,1.052463303924434,1.8883840071897262,1,0.25567221423253267,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,WsAreaSqKm,29,0.4357021363764476,0.022661751231487493,-0.013535961685864795,1049.3784218648552,0.6260547809534119,1,0.15053820522208797,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,tt_hr,29,0.022030365967190397,0.17943898338696257,0.14904783462351667,961.5350552357658,5.9043172334041545,1,0.4236023883159333,< 0.1,0.15,r~'= '*0.42,r^2~'= '*0.15
Gunnison,peaks.with.formula,Da,29,0.035258956298037,0.15396447434152144,0.12262982524305921,976.3465180818763,4.913553486995252,1,0.39238307091606467,< 0.1,0.12,r~'= '*0.39,r^2~'= '*0.12
Gunnison,peaks.with.formula,lulc_evenness,29,0.556709894047189,0.012948063189384029,-0.023609415951749924,1054.5803732064123,0.3541836990290467,1,-0.11378955659191231,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctDecid2019Ws,29,0.7136615641938862,0.005067198190808507,-0.03178216483916163,1058.782017447534,0.13751114738909573,1,-0.07118425521706692,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctConif2019Ws,29,0.001980903975851151,0.30285100753195904,0.2770306744775872,886.2831323413516,11.729167354046988,1,0.5503190052432851,< 0.1,0.28,r~'= '*0.55,r^2~'= '*0.28
Gunnison,AI_Mod.mean,WsAreaSqKm,29,0.34047807595462176,0.03369909383590448,-0.002089828614617373,0.029871354292812957,0.9416068305072121,1,0.18357312939508466,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,tt_hr,29,0.028380114571780503,0.1657568906487975,0.1348589977098641,0.027755242973598895,5.3646664831287785,1,0.40713252221948254,< 0.1,0.13,r~'= '*0.41,r^2~'= '*0.13
Gunnison,AI_Mod.mean,Da,29,0.040698024607766496,0.14614251799435393,0.11451816680895976,0.02807963211802759,4.621202096372173,1,0.382285911320773,< 0.1,0.11,r~'= '*0.38,r^2~'= '*0.11
Gunnison,AI_Mod.mean,lulc_evenness,29,0.5176209138952005,0.01567012287861649,-0.020786539236990365,0.030148732132649073,0.42982878764175836,1,-0.1251803613935369,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctDecid2019Ws,29,0.789820602824484,0.002676884168330169,-0.03426100901062057,0.030347062706784937,0.07246986598184237,1,-0.051738613900356556,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctConif2019Ws,29,0.0010566043562163713,0.3326317160868744,0.30791437223824014,0.024824556657120356,13.457421562926287,1,0.5767423307568765,< 0.1,0.31,r~'= '*0.58,r^2~'= '*0.31
Gunnison,CHON_norm,WsAreaSqKm,29,0.13678812310210706,0.080118980054208,0.046049312648808405,2.444818048695243,2.3516220191075288,1,0.2830529633376199,n.s.,NA,NA,NA
Gunnison,CHON_norm,tt_hr,29,0.40793844732642615,0.02550500731747688,-0.010587399818912768,2.516346945436065,0.7066585285125458,1,0.15970287197629512,n.s.,NA,NA,NA
Gunnison,CHON_norm,Da,29,0.5914396469009915,0.0108107784568711,-0.02582585937805959,2.5352477256171606,0.2950810744583039,1,0.10397489339677678,n.s.,NA,NA,NA
Gunnison,CHON_norm,lulc_evenness,29,0.14711090036149688,0.0762327098846122,0.04201910654700525,2.449976981920434,2.2281403432540126,1,0.27610271618477816,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctDecid2019Ws,29,0.10027859165961873,0.09687484647013753,0.06342576670977229,2.4224492262549067,2.8961886893201516,1,0.3112472433133145,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctConif2019Ws,29,0.34700409904113605,0.03281476771581708,-0.003006907553967375,2.506891526546062,0.9160589913419324,1,0.18114846870955634,n.s.,NA,NA,NA
Gunnison,normalized.transformations,WsAreaSqKm,29,0.7851497313866578,0.0028000349942253317,-0.03413329704302548,1.6975013828768692,0.07581322452578121,1,0.052915356884607,n.s.,NA,NA,NA
Gunnison,normalized.transformations,tt_hr,29,0.07774652159615597,0.11074254047550863,0.07780707901163864,1.6029972153907268,3.3624104704587894,1,0.3327800181433806,< 0.1,0.08,r~'= '*0.33,r^2~'= '*0.08
Gunnison,normalized.transformations,Da,29,0.10598433447228395,0.09387207668448258,0.0603117832283524,1.6181313288186847,2.797117278106979,1,0.3063855033850045,n.s.,NA,NA,NA
Gunnison,normalized.transformations,lulc_evenness,29,0.363471151419855,0.03067722599340784,-0.005223617488317789,1.6736059751075654,0.854498753184539,1,0.17514915356177962,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctDecid2019Ws,29,0.5074345870854964,0.016439377050601483,-0.019988794169746527,1.6858525071072512,0.451281974907891,1,0.1282161341275018,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctConif2019Ws,29,0.009938608714177568,0.22170080137943127,0.19287490513422512,1.4996582502483988,7.691028910030861,1,0.4708511456707218,< 0.1,0.19,r~'= '*0.47,r^2~'= '*0.19
Willamette,DOC_mgL,WsAreaSqKm,49,0.03880048397746001,0.0877179789093356,0.06830772314144928,0.4193300286328656,4.519156262456964,1,0.2961722115751841,< 0.1,0.07,r~'= '*0.30,r^2~'= '*0.07
Willamette,DOC_mgL,tt_hr,49,0.44375082799376164,0.012534195425065538,-0.00847571531057123,0.43626707524104114,0.596584896660465,1,0.11195622101993954,n.s.,NA,NA,NA
Willamette,DOC_mgL,Da,49,0.8104473021819973,0.0012363139464122998,-0.02001397724621712,0.43875570600728936,0.058178682598057974,1,0.03516125632585237,n.s.,NA,NA,NA
Willamette,DOC_mgL,lulc_evenness,49,0.0022807656315802934,0.18138241231406574,0.1639650168313863,0.39722076299620745,10.413865407973288,1,0.4258901411327407,< 0.1,0.16,r~'= '*0.43,r^2~'= '*0.16
Willamette,DOC_mgL,PctDecid2019Ws,49,0.6222143546725549,0.005206878257417028,-0.015958932843488816,0.43788270539143925,0.24600419197703896,1,0.07215870188284328,n.s.,NA,NA,NA
Willamette,DOC_mgL,PctConif2019Ws,49,0.003764343803941343,0.16513008261929124,0.14736689288778682,0.40114447224300737,9.296195397069917,1,-0.40636200932086547,< 0.1,0.15,r~'= '*-0.41,r^2~'= '*0.15
Willamette,peaks.with.formula,WsAreaSqKm,52,0.27562964127362144,0.023722745425572813,0.004197200334084328,720.6357295815757,1.2149594448922139,1,0.1540218991753212,n.s.,NA,NA,NA
Willamette,peaks.with.formula,tt_hr,52,0.35757572181924346,0.016952325574966242,-0.0027086279135344338,723.1301934909854,0.8622331355842606,1,0.1302010966734391,n.s.,NA,NA,NA
Willamette,peaks.with.formula,Da,52,0.597208852691551,0.005624740106138765,-0.014262765091738405,727.2845479926385,0.28282783839267805,1,0.07499826735424463,n.s.,NA,NA,NA
Willamette,peaks.with.formula,lulc_evenness,52,0.07353865027428862,0.06263672699857571,0.043889461538547225,706.1275758684254,3.341112714925014,1,0.2502733046063357,< 0.1,0.04,r~'= '*0.25,r^2~'= '*0.04
Willamette,peaks.with.formula,PctDecid2019Ws,52,0.7274735784318564,0.002450277542999605,-0.0175007169061403,728.4445214876891,0.12281480751478155,1,0.049500278211335444,n.s.,NA,NA,NA
Willamette,peaks.with.formula,PctConif2019Ws,52,0.09709283018993849,0.054086203021038816,0.03516792708145955,709.3408734444708,2.858939323740606,1,-0.23256440617824348,< 0.1,0.04,r~'= '*-0.23,r^2~'= '*0.04
Willamette,AI_Mod.mean,WsAreaSqKm,52,0.7693578528125355,0.001735270454358906,-0.018230024136553835,0.022535781217207132,0.08691434260873428,1,0.04165657756416021,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,tt_hr,52,0.682118811034705,0.0033829809444022203,-0.016549359436709654,0.022517175041340355,0.16972321763117992,1,0.05816339866619056,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,Da,52,0.8127272856795359,0.0011331558891710066,-0.018844180993045745,0.02254257654725938,0.05672206940554319,1,0.03366238091952212,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,lulc_evenness,52,0.4019338075186396,0.01409146924520858,-0.00562670136988741,0.02239587663071455,0.7146438440095675,1,0.11870749447784892,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,PctDecid2019Ws,52,0.2081675434281145,0.03149344507628348,0.012123313977809191,0.022197345224625457,1.625876712768559,1,0.17746392612664547,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,PctConif2019Ws,52,0.5231566214260004,0.008201379906470976,-0.011634592495399554,0.022462676579283105,0.4134599373458277,1,-0.09056147031972862,n.s.,NA,NA,NA
