num.trans.involved.in,sample,peak
3,RC2_0200,201.0769921
8,RC2_0200,201.1133055
4,RC2_0200,201.1134288
1,RC2_0200,201.8021074
1,RC2_0200,202.0756733
2,RC2_0200,203.0562175
3,RC2_0200,203.0925986
1,RC2_0200,204.0763661
5,RC2_0200,205.1599394
1,RC2_0200,208.1484682
4,RC2_0200,209.0457145
24,RC2_0200,209.0819912
8,RC2_0200,209.0821175
2,RC2_0200,209.0944937
43,RC2_0200,209.0949816
4,RC2_0200,211.0248947
28,RC2_0200,211.0612573
37,RC2_0200,211.0976304
8,RC2_0200,211.1341298
1,RC2_0200,212.0559711
1,RC2_0200,212.3711588
9,RC2_0200,212.9676097
2,RC2_0200,213.0153954
1,RC2_0200,213.0406789
45,RC2_0200,213.0769008
43,RC2_0200,213.1132838
14,RC2_0200,215.0561782
3,RC2_0200,215.0563016
2,RC2_0200,215.0920904
45,RC2_0200,215.0925338
32,RC2_0200,215.1289345
5,RC2_0200,216.1242171
3,RC2_0200,216.1243361
45,RC2_0200,217.0717993
4,RC2_0200,217.0719297
31,RC2_0200,217.1082018
4,RC2_0200,217.1083285
4,RC2_0200,219.0664787
7,RC2_0200,220.1469186
1,RC2_0200,220.1940737
56,RC2_0200,221.0455807
2,RC2_0200,221.0815189
33,RC2_0200,221.0819869
11,RC2_0200,222.0897942
6,RC2_0200,222.0903254
1,RC2_0200,222.9110794
43,RC2_0200,223.0612462
14,RC2_0200,223.0743118
3,RC2_0200,223.0977363
5,RC2_0200,224.0873298
1,RC2_0200,224.0874446
1,RC2_0200,224.8555193
66,RC2_0200,225.0404863
61,RC2_0200,225.0768783
46,RC2_0200,225.1132786
7,RC2_0200,225.1134132
1,RC2_0200,227.0379663
56,RC2_0200,227.0561483
3,RC2_0200,227.0920118
51,RC2_0200,227.0925419
7,RC2_0200,227.0926703
1,RC2_0200,227.128386
54,RC2_0200,227.1289076
8,RC2_0200,228.1605368
3,RC2_0200,228.9506089
2,RC2_0200,229.071269
50,RC2_0200,229.0718072
2,RC2_0200,229.1027033
48,RC2_0200,229.1081903
43,RC2_0200,229.1445526
2,RC2_0200,230.9298643
1,RC2_0200,230.9452315
2,RC2_0200,231.033291
1,RC2_0200,231.0868989
47,RC2_0200,231.0874424
37,RC2_0200,231.1238449
1,RC2_0200,232.0967036
3,RC2_0200,232.9278249
58,RC2_0200,233.0666983
47,RC2_0200,233.1030858
2,RC2_0200,233.1143471
23,RC2_0200,233.1547007
38,RC2_0200,235.0248428
51,RC2_0200,235.061225
23,RC2_0200,235.0743229
43,RC2_0200,235.0976172
1,RC2_0200,236.9659403
59,RC2_0200,237.0404904
10,RC2_0200,237.053581
64,RC2_0200,237.0768772
19,RC2_0200,237.0899743
57,RC2_0200,237.1132636
3,RC2_0200,237.1255688
6,RC2_0200,237.1261745
41,RC2_0200,237.1496401
20,RC2_0200,238.0483128
20,RC2_0200,238.0721488
4,RC2_0200,238.0722818
66,RC2_0200,239.0197304
1,RC2_0200,239.0555021
59,RC2_0200,239.0561165
5,RC2_0200,239.067398
63,RC2_0200,239.0925097
44,RC2_0200,239.1289014
29,RC2_0200,239.1653076
6,RC2_0200,240.0457724
1,RC2_0200,240.2174705
39,RC2_0200,241.0354243
2,RC2_0200,241.0536298
54,RC2_0200,241.0718073
64,RC2_0200,241.1081834
2,RC2_0200,241.1358758
20,RC2_0200,241.1364762
53,RC2_0200,241.1445558
20,RC2_0200,242.0670585
4,RC2_0200,242.1398639
1,RC2_0200,242.175577
12,RC2_0200,242.1761835
4,RC2_0200,243.0026368
42,RC2_0200,243.0510742
1,RC2_0200,243.0868382
60,RC2_0200,243.0874561
62,RC2_0200,243.1238242
1,RC2_0200,243.1329116
6,RC2_0200,243.1335387
31,RC2_0200,243.1601886
2,RC2_0200,244.1368803
4,RC2_0200,245.0489481
67,RC2_0200,245.0666936
1,RC2_0200,245.1024511
67,RC2_0200,245.103084
48,RC2_0200,245.1394872
1,RC2_0200,246.1415816
2,RC2_0200,247.0536405
59,RC2_0200,247.0612052
24,RC2_0200,247.0743194
59,RC2_0200,247.0823441
5,RC2_0200,247.09361
47,RC2_0200,247.0976109
1,RC2_0200,247.1100475
18,RC2_0200,247.1106915
39,RC2_0200,247.1187463
15,RC2_0200,247.1340276
12,RC2_0200,248.1140322
2,RC2_0200,248.1291435
63,RC2_0200,249.0404817
14,RC2_0200,249.0535931
5,RC2_0200,249.0713812
44,RC2_0200,249.0768876
21,RC2_0200,249.0899677
28,RC2_0200,249.1077186
32,RC2_0200,249.1132794
2,RC2_0200,249.1401813
36,RC2_0200,249.1496328
12,RC2_0200,250.1216041
12,RC2_0200,250.1449261
1,RC2_0200,250.9685965
1,RC2_0200,250.9815745
33,RC2_0200,251.0197679
46,RC2_0200,251.0561601
43,RC2_0200,251.0692008
74,RC2_0200,251.092512
1,RC2_0200,251.0959062
34,RC2_0200,251.1136506
39,RC2_0200,251.1289264
9,RC2_0200,251.1420229
24,RC2_0200,251.1653004
68,RC2_0200,253.0353938
3,RC2_0200,253.0535981
42,RC2_0200,253.0718158
15,RC2_0200,253.0848676
1,RC2_0200,253.1054677
3,RC2_0200,253.1074755
73,RC2_0200,253.1081745
30,RC2_0200,253.1212193
1,RC2_0200,253.1331198
3,RC2_0200,253.1438623
45,RC2_0200,253.1445529
15,RC2_0200,254.0432095
1,RC2_0200,255.0503124
87,RC2_0200,255.0510446
52,RC2_0200,255.087462
69,RC2_0200,255.1238207
7,RC2_0200,255.2329784
1,RC2_0200,256.0589896
7,RC2_0200,256.0957818
77,RC2_0200,257.0666978
2,RC2_0200,257.1023928
46,RC2_0200,257.1031138
8,RC2_0200,257.1314241
52,RC2_0200,257.1394606
21,RC2_0200,257.1758774
9,RC2_0200,258.1347653
4,RC2_0200,259.035403
7,RC2_0200,259.0460167
4,RC2_0200,259.0536171
40,RC2_0200,259.0612259
68,RC2_0200,259.0823543
3,RC2_0200,259.1180437
37,RC2_0200,259.1187658
42,RC2_0200,259.1551052
5,RC2_0200,260.0614504
24,RC2_0200,260.0775933
29,RC2_0200,261.040518
4,RC2_0200,261.051057
41,RC2_0200,261.0535493
5,RC2_0200,261.0616665
51,RC2_0200,261.0768639
16,RC2_0200,261.0899836
71,RC2_0200,261.0979977
11,RC2_0200,261.1133002
26,RC2_0200,261.1263333
10,RC2_0200,261.1344261
7,RC2_0200,261.162766
28,RC2_0200,263.0197816
36,RC2_0200,263.0561594
21,RC2_0200,263.0692185
59,RC2_0200,263.0925264
29,RC2_0200,263.1056007
30,RC2_0200,263.1289336
4,RC2_0200,263.1418147
5,RC2_0200,263.178409
21,RC2_0200,264.0725299
4,RC2_0200,264.1372761
1,RC2_0200,264.8908831
2,RC2_0200,264.997232
31,RC2_0200,265.0354303
71,RC2_0200,265.0717856
16,RC2_0200,265.0848927
1,RC2_0200,265.107458
16,RC2_0200,265.10821
36,RC2_0200,265.1212311
44,RC2_0200,265.1445633
1,RC2_0200,265.1479259
8,RC2_0200,265.1576666
6,RC2_0200,266.0670815
2,RC2_0200,266.8485424
4,RC2_0200,266.888824
1,RC2_0200,266.9942937
23,RC2_0200,267.0146913
2,RC2_0200,267.0502891
68,RC2_0200,267.0510612
2,RC2_0200,267.0819604
1,RC2_0200,267.0867052
32,RC2_0200,267.0874727
40,RC2_0200,267.1004945
68,RC2_0200,267.1238131
15,RC2_0200,267.1369319
27,RC2_0200,267.1602276
3,RC2_0200,268.0407297
14,RC2_0200,268.058873
30,RC2_0200,268.0826975
11,RC2_0200,269.0303632
1,RC2_0200,269.0658889
91,RC2_0200,269.0666852
1,RC2_0200,269.0715304
2,RC2_0200,269.1023235
49,RC2_0200,269.1031087
1,RC2_0200,269.1304626
3,RC2_0200,269.1312485
40,RC2_0200,269.1394928
9,RC2_0200,270.0563679
31,RC2_0200,270.0619479
21,RC2_0200,270.1711014
44,RC2_0200,271.0459849
2,RC2_0200,271.0634878
91,RC2_0200,271.0823405
1,RC2_0200,271.1179739
42,RC2_0200,271.1187635
