num.trans.involved.in,sample,peak
47,WROL2019_072,201.0768413
7,WROL2019_072,201.1133055
2,WROL2019_072,201.2351271
1,WROL2019_072,201.8021074
1,WROL2019_072,201.9700222
2,WROL2019_072,202.0230006
7,WROL2019_072,204.9837439
20,WROL2019_072,205.1597799
1,WROL2019_072,206.999415
3,WROL2019_072,207.0121291
56,WROL2019_072,207.0299269
60,WROL2019_072,207.066308
33,WROL2019_072,207.1026605
1,WROL2019_072,207.3170444
1,WROL2019_072,208.2814425
1,WROL2019_072,209.0079362
17,WROL2019_072,209.0092286
63,WROL2019_072,209.0455803
24,WROL2019_072,209.0819912
26,WROL2019_072,209.154707
9,WROL2019_072,211.0248947
32,WROL2019_072,211.0612573
37,WROL2019_072,211.0976304
41,WROL2019_072,211.133983
1,WROL2019_072,212.0608869
2,WROL2019_072,213.0405575
45,WROL2019_072,213.0769008
42,WROL2019_072,213.1132838
1,WROL2019_072,214.0022046
1,WROL2019_072,214.9349327
15,WROL2019_072,215.0561782
46,WROL2019_072,215.0925338
30,WROL2019_072,215.1289345
2,WROL2019_072,215.2857413
1,WROL2019_072,216.9328866
42,WROL2019_072,217.0717993
27,WROL2019_072,217.1082018
18,WROL2019_072,219.0663505
35,WROL2019_072,219.0874477
20,WROL2019_072,221.0092304
69,WROL2019_072,221.0455807
1,WROL2019_072,221.0815189
34,WROL2019_072,221.0819869
62,WROL2019_072,223.0248397
43,WROL2019_072,223.0612462
65,WROL2019_072,223.0976079
48,WROL2019_072,223.1339662
71,WROL2019_072,225.0404863
67,WROL2019_072,225.0768783
43,WROL2019_072,225.1132786
63,WROL2019_072,227.0561483
47,WROL2019_072,227.0925419
49,WROL2019_072,227.1289076
2,WROL2019_072,228.9329025
1,WROL2019_072,228.9692869
46,WROL2019_072,229.0354136
48,WROL2019_072,229.0718072
48,WROL2019_072,229.1081903
41,WROL2019_072,229.1445526
5,WROL2019_072,231.033291
50,WROL2019_072,231.0874424
33,WROL2019_072,231.1238449
4,WROL2019_072,231.1546656
63,WROL2019_072,233.0455705
57,WROL2019_072,233.0666983
51,WROL2019_072,233.0819403
1,WROL2019_072,233.1541587
31,WROL2019_072,233.1547007
48,WROL2019_072,235.0248428
62,WROL2019_072,235.061225
47,WROL2019_072,235.0976172
1,WROL2019_072,236.19946
69,WROL2019_072,237.0404904
73,WROL2019_072,237.0768772
9,WROL2019_072,237.0899743
56,WROL2019_072,237.1132636
71,WROL2019_072,239.0197304
61,WROL2019_072,239.0561165
68,WROL2019_072,239.0925097
2,WROL2019_072,239.1284676
43,WROL2019_072,239.1289014
37,WROL2019_072,241.0354243
55,WROL2019_072,241.0718073
62,WROL2019_072,241.1081834
17,WROL2019_072,241.1364762
47,WROL2019_072,241.1445558
2,WROL2019_072,242.1398639
9,WROL2019_072,242.1761835
41,WROL2019_072,243.0510742
1,WROL2019_072,243.0868382
59,WROL2019_072,243.0874561
56,WROL2019_072,243.1238242
8,WROL2019_072,243.1335387
36,WROL2019_072,243.1601886
61,WROL2019_072,245.0455539
7,WROL2019_072,245.0489481
64,WROL2019_072,245.0666936
49,WROL2019_072,245.0819617
67,WROL2019_072,245.103084
43,WROL2019_072,245.1394872
34,WROL2019_072,247.0248509
73,WROL2019_072,247.0612052
57,WROL2019_072,247.0976109
1,WROL2019_072,247.1102228
12,WROL2019_072,247.1106915
38,WROL2019_072,247.1187463
6,WROL2019_072,248.1140322
75,WROL2019_072,249.0404817
49,WROL2019_072,249.0768876
22,WROL2019_072,249.1077186
34,WROL2019_072,249.1132794
43,WROL2019_072,249.1496328
8,WROL2019_072,250.1449261
41,WROL2019_072,251.0197679
48,WROL2019_072,251.0561601
84,WROL2019_072,251.092512
39,WROL2019_072,251.1289264
74,WROL2019_072,253.0353938
1,WROL2019_072,253.0713213
44,WROL2019_072,253.0718158
77,WROL2019_072,253.1081745
1,WROL2019_072,253.1440931
44,WROL2019_072,253.1445529
35,WROL2019_072,253.1809244
1,WROL2019_072,253.2594876
43,WROL2019_072,254.0670389
84,WROL2019_072,255.0510446
51,WROL2019_072,255.087462
65,WROL2019_072,255.1238207
5,WROL2019_072,255.2329784
12,WROL2019_072,257.0303694
47,WROL2019_072,257.0455589
77,WROL2019_072,257.0666978
45,WROL2019_072,257.1031138
7,WROL2019_072,257.1314241
51,WROL2019_072,257.1394606
21,WROL2019_072,257.1758774
7,WROL2019_072,259.0248868
8,WROL2019_072,259.0460167
49,WROL2019_072,259.0612259
63,WROL2019_072,259.0823543
35,WROL2019_072,259.1187658
43,WROL2019_072,259.1551052
2,WROL2019_072,260.9768032
30,WROL2019_072,261.040518
66,WROL2019_072,261.0768639
67,WROL2019_072,261.0979977
12,WROL2019_072,261.1133002
7,WROL2019_072,261.1344261
2,WROL2019_072,261.1375705
2,WROL2019_072,261.1377318
2,WROL2019_072,262.8899189
1,WROL2019_072,262.9748074
30,WROL2019_072,263.0197816
40,WROL2019_072,263.0561594
19,WROL2019_072,263.0692185
69,WROL2019_072,263.0925264
21,WROL2019_072,263.1056007
29,WROL2019_072,263.1289336
35,WROL2019_072,265.0354303
86,WROL2019_072,265.0717856
7,WROL2019_072,265.0848927
1,WROL2019_072,265.098277
18,WROL2019_072,265.10821
31,WROL2019_072,265.1212311
40,WROL2019_072,265.1445633
3,WROL2019_072,265.1479259
18,WROL2019_072,266.0670815
23,WROL2019_072,267.0146913
1,WROL2019_072,267.0403863
73,WROL2019_072,267.0510612
35,WROL2019_072,267.0874727
74,WROL2019_072,267.1238131
28,WROL2019_072,267.1602276
38,WROL2019_072,268.0826975
1,WROL2019_072,268.8464636
15,WROL2019_072,269.0303632
100,WROL2019_072,269.0666852
52,WROL2019_072,269.1031087
1,WROL2019_072,269.1312485
1,WROL2019_072,269.1387032
39,WROL2019_072,269.1394928
45,WROL2019_072,271.0459849
23,WROL2019_072,271.0612453
3,WROL2019_072,271.064643
92,WROL2019_072,271.0823405
19,WROL2019_072,271.0976247
41,WROL2019_072,271.1187635
36,WROL2019_072,271.1551372
4,WROL2019_072,271.2279438
10,WROL2019_072,273.040535
3,WROL2019_072,273.0439038
35,WROL2019_072,273.0616401
51,WROL2019_072,273.0768668
41,WROL2019_072,273.0980262
48,WROL2019_072,273.1132432
59,WROL2019_072,273.1343806
34,WROL2019_072,273.1707812
19,WROL2019_072,274.1084839
1,WROL2019_072,274.3131514
25,WROL2019_072,275.019774
2,WROL2019_072,275.0358148
2,WROL2019_072,275.0363813
20,WROL2019_072,275.0561801
3,WROL2019_072,275.0595598
52,WROL2019_072,275.0691923
41,WROL2019_072,275.0772881
47,WROL2019_072,275.0925308
30,WROL2019_072,275.1055913
30,WROL2019_072,275.1136798
49,WROL2019_072,275.1288899
39,WROL2019_072,275.1500455
1,WROL2019_072,276.0359865
1,WROL2019_072,276.03978
2,WROL2019_072,276.2417136
1,WROL2019_072,276.8505778
1,WROL2019_072,276.9685035
2,WROL2019_072,277.0334654
28,WROL2019_072,277.0354356
41,WROL2019_072,277.0484607
79,WROL2019_072,277.0717817
16,WROL2019_072,277.084881
58,WROL2019_072,277.1081768
11,WROL2019_072,277.1212752
21,WROL2019_072,277.1445832
1,WROL2019_072,278.0330217
40,WROL2019_072,278.1034125
3,WROL2019_072,278.1529028
2,WROL2019_072,278.8848743
21,WROL2019_072,279.0146995
46,WROL2019_072,279.0510701
40,WROL2019_072,279.0641005
83,WROL2019_072,279.0874405
52,WROL2019_072,279.1004977
79,WROL2019_072,279.1238056
1,WROL2019_072,279.1369408
39,WROL2019_072,279.1602153
27,WROL2019_072,280.0463371
49,WROL2019_072,280.0826718
4,WROL2019_072,280.1499055
3,WROL2019_072,280.8464589
1,WROL2019_072,280.8828326
82,WROL2019_072,281.030314
11,WROL2019_072,281.0489146
96,WROL2019_072,281.0667002
10,WROL2019_072,281.0798127
21,WROL2019_072,281.0975489
85,WROL2019_072,281.1030904
12,WROL2019_072,281.1161723
40,WROL2019_072,281.1394996
3,WROL2019_072,281.1428442
34,WROL2019_072,281.1758693
